seed,best_epoch,best_val_auc
0,6,0.8559249530956847
1,7,0.8388763197586727
2,7,0.8751069418386492
3,2,0.8720000000000001
4,3,0.8682051282051282
5,8,0.8724962292609352
6,2,0.8527279549718574
7,4,0.8643377110694183
8,3,0.8695912741220184
9,2,0.8503114446529081
