model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.7528301886792453,0.6504065040650406,0.7804878048780488,0.7095343680709535,0.8398048780487806
random_forest,0.7471698113207547,0.6510638297872341,0.7463414634146341,0.6954545454545454,0.8225666041275798
