k,n_query,n_candidate,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,method,target_gene,candidate_pool,hidden_dim,proj_dim,seed,final_loss
1,32,316,0.6875,0.6904761904761905,0.6862745098039216,0.7058823529411765,0.75,0.6666666666666666,0.6904761904761905,0.6875,contrastive_projection_wt_mut,SCN2A,non-SCN2A,256,64,3,4.98719596862793
3,32,316,0.65625,0.6626984126984128,0.6559139784946236,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.6964285714285714,0.6972578347578348,contrastive_projection_wt_mut,SCN2A,non-SCN2A,256,64,3,4.98719596862793
5,32,316,0.65625,0.6626984126984128,0.6559139784946236,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.6964285714285714,0.6972578347578348,contrastive_projection_wt_mut,SCN2A,non-SCN2A,256,64,3,4.98719596862793
