k,n_query,n_candidate,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,method,target_gene,candidate_pool,hidden_dim,proj_dim,seed,final_loss
1,32,316,0.65625,0.6626984126984128,0.6559139784946236,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.6626984126984128,0.6668981481481481,frozen_esm_wt_mut,SCN2A,non-SCN2A,512,128,5,
3,32,316,0.71875,0.7261904761904762,0.718475073313783,0.7272727272727273,0.8,0.6666666666666666,0.7896825396825397,0.7899288781535159,frozen_esm_wt_mut,SCN2A,non-SCN2A,512,128,5,
5,32,316,0.75,0.753968253968254,0.7490196078431373,0.7647058823529411,0.8125,0.7222222222222222,0.7658730158730158,0.7430787811222594,frozen_esm_wt_mut,SCN2A,non-SCN2A,512,128,5,
