Mapped_Functional_Category,n,mean_uncertainty,median_uncertainty,std_uncertainty,mean_confidence,accuracy,mean_pathogenic_probability
Voltage_Sensor,110,0.2590122057181818,0.258760065,0.1247128443525805,0.7409877914545454,0.6272727272727273,0.722594982909091
Inactivation_Gate,93,0.25339075821505375,0.23401082,0.13993058013195958,0.7466092418279572,0.6451612903225806,0.3910327173118279
Pore,261,0.1975117067007663,0.17214203,0.142407497223625,0.8024882937931035,0.6781609195402298,0.7746458284674329
Other,1852,0.1662138079576274,0.12001917000000001,0.15107488368943517,0.8337861921814255,0.7829373650107991,0.36248198339674365
