,Inactivation_Gate,Other,Pore,Voltage_Sensor
Inactivation_Gate,1.0,2.2008128482405095e-08,0.019528346127932337,1.0
Other,2.2008128482405095e-08,1.0,0.00024185081798437847,1.9834712918752198e-11
Pore,0.019528346127932337,0.00024185081798437847,1.0,0.0017395869149053748
Voltage_Sensor,1.0,1.9834712918752198e-11,0.0017395869149053748,1.0
