n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,tn,fp,fn,tp,roc_auc,average_precision,experiment,heldout_gene,model,n_train,n_test,train_lof,train_gof,error
61,49,12,0.8032786885245902,0.5,0.44545454545454544,0.0,0.0,0.0,49,0,12,0,0.5,0.19672131147540983,heldout_scn1a,SCN1A,majority_class,287,61,161,126,
61,49,12,0.5737704918032787,0.5773809523809523,0.5164634146341464,0.35,0.25,0.5833333333333334,28,21,5,7,0.6156462585034013,0.32429055164874476,heldout_scn1a,SCN1A,logistic_regression,287,61,161,126,
61,49,12,0.6229508196721312,0.6709183673469388,0.5775368864799759,0.43902439024390244,0.3103448275862069,0.75,29,20,3,9,0.7329931972789115,0.4781288031608956,heldout_scn1a,SCN1A,random_forest,287,61,161,126,
61,49,12,0.6229508196721312,0.6394557823129252,0.5665739882607352,0.41025641025641024,0.2962962962962963,0.6666666666666666,30,19,4,8,0.6751700680272109,0.44935809317823794,heldout_scn1a,SCN1A,hist_gradient_boosting,287,61,161,126,
61,49,12,0.5901639344262295,0.6505102040816326,0.5510744774801295,0.4186046511627907,0.2903225806451613,0.75,27,22,3,9,0.6505102040816326,0.26692226335272345,heldout_scn1a,SCN1A,scion_feature_knn_k1,287,61,161,126,
61,49,12,0.5573770491803278,0.5357142857142857,0.4911955514365153,0.3076923076923077,0.2222222222222222,0.5,28,21,6,6,0.6454081632653061,0.3255595167359873,heldout_scn1a,SCN1A,scion_feature_knn_k3,287,61,161,126,
61,49,12,0.6229508196721312,0.6079931972789117,0.5538950715421304,0.3783783783783784,0.28,0.5833333333333334,31,18,5,7,0.6488095238095237,0.3493772679252216,heldout_scn1a,SCN1A,scion_feature_knn_k5,287,61,161,126,
