n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,tn,fp,fn,tp,roc_auc,average_precision,experiment,heldout_gene,model,n_train,n_test,train_lof,train_gof,error
32,14,18,0.53125,0.5515873015873016,0.5270935960591133,0.4827586206896552,0.6363636363636364,0.3888888888888889,10,4,11,7,0.5436507936507936,0.5805375180375181,leave_one_gene_out,SCN2A,scion_feature_knn_k3,316,32,196,120,
32,14,18,0.53125,0.5357142857142857,0.530791788856305,0.5454545454545454,0.6,0.5,8,6,9,9,0.5634920634920635,0.6016203703703703,leave_one_gene_out,SCN2A,scion_feature_knn_k5,316,32,196,120,
12,2,10,0.16666666666666666,0.5,0.14285714285714285,0.0,0.0,0.0,2,0,10,0,0.5,0.8333333333333334,leave_one_gene_out,SCN3A,majority_class,336,12,208,128,
12,2,10,0.5833333333333334,0.55,0.4957983193277311,0.7058823529411765,0.8571428571428571,0.6,1,1,4,6,0.6499999999999999,0.932651515151515,leave_one_gene_out,SCN3A,logistic_regression,336,12,208,128,
12,2,10,0.6666666666666666,0.8,0.625,0.75,1.0,0.6,2,0,4,6,0.7,0.9451515151515152,leave_one_gene_out,SCN3A,random_forest,336,12,208,128,
12,2,10,0.5,0.7,0.4857142857142857,0.5714285714285714,1.0,0.4,2,0,6,4,0.75,0.9497222222222222,leave_one_gene_out,SCN3A,hist_gradient_boosting,336,12,208,128,
12,2,10,0.6666666666666666,0.8,0.625,0.75,1.0,0.6,2,0,4,6,0.8,0.9333333333333333,leave_one_gene_out,SCN3A,scion_feature_knn_k1,336,12,208,128,
12,2,10,0.6666666666666666,0.8,0.625,0.75,1.0,0.6,2,0,4,6,0.8,0.9444444444444444,leave_one_gene_out,SCN3A,scion_feature_knn_k3,336,12,208,128,
12,2,10,0.5,0.7,0.4857142857142857,0.5714285714285714,1.0,0.4,2,0,6,4,0.65,0.9091666666666667,leave_one_gene_out,SCN3A,scion_feature_knn_k5,336,12,208,128,
31,13,18,0.41935483870967744,0.5,0.29545454545454547,0.0,0.0,0.0,13,0,18,0,0.5,0.5806451612903226,leave_one_gene_out,SCN4A,majority_class,317,31,197,120,
31,13,18,0.6451612903225806,0.6623931623931625,0.6451612903225806,0.6451612903225806,0.7692307692307693,0.5555555555555556,10,3,8,10,0.7777777777777778,0.8273822807277281,leave_one_gene_out,SCN4A,logistic_regression,317,31,197,120,
31,13,18,0.5806451612903226,0.5961538461538461,0.5806451612903226,0.5806451612903226,0.6923076923076923,0.5,9,4,9,9,0.6239316239316239,0.7164476045514692,leave_one_gene_out,SCN4A,random_forest,317,31,197,120,
31,13,18,0.6129032258064516,0.6239316239316239,0.6125,0.625,0.7142857142857143,0.5555555555555556,9,4,8,10,0.6025641025641026,0.7033078953511986,leave_one_gene_out,SCN4A,hist_gradient_boosting,317,31,197,120,
31,13,18,0.5806451612903226,0.5854700854700855,0.5788923719958203,0.6060606060606061,0.6666666666666666,0.5555555555555556,8,5,8,10,0.5854700854700855,0.6284348864994026,leave_one_gene_out,SCN4A,scion_feature_knn_k1,317,31,197,120,
31,13,18,0.5483870967741935,0.5790598290598291,0.5441176470588236,0.5,0.7,0.3888888888888889,10,3,11,7,0.5277777777777778,0.6328784119106701,leave_one_gene_out,SCN4A,scion_feature_knn_k3,317,31,197,120,
31,13,18,0.5483870967741935,0.5683760683760684,0.5479166666666666,0.5333333333333333,0.6666666666666666,0.4444444444444444,9,4,10,8,0.6047008547008548,0.6522656112478138,leave_one_gene_out,SCN4A,scion_feature_knn_k5,317,31,197,120,
157,117,40,0.25477707006369427,0.5,0.20304568527918782,0.40609137055837563,0.25477707006369427,1.0,0,117,0,40,0.5,0.25477707006369427,leave_one_gene_out,SCN5A,majority_class,191,157,93,98,
157,117,40,0.6178343949044586,0.5955128205128206,0.5686813186813187,0.4230769230769231,0.34375,0.55,75,42,18,22,0.6414529914529915,0.36645069320781526,leave_one_gene_out,SCN5A,logistic_regression,191,157,93,98,
157,117,40,0.5923566878980892,0.6030982905982907,0.5592982456140351,0.43859649122807015,0.33783783783783783,0.625,68,49,15,25,0.6606837606837607,0.3996241092020463,leave_one_gene_out,SCN5A,random_forest,191,157,93,98,
157,117,40,0.6305732484076433,0.6451923076923077,0.597507072135785,0.48214285714285715,0.375,0.675,72,45,13,27,0.6707264957264957,0.46339829351475553,leave_one_gene_out,SCN5A,hist_gradient_boosting,191,157,93,98,
157,117,40,0.5605095541401274,0.5652777777777778,0.5266331658291458,0.4,0.30666666666666664,0.575,65,52,17,23,0.5652777777777778,0.2846135881104034,leave_one_gene_out,SCN5A,scion_feature_knn_k1,191,157,93,98,
157,117,40,0.5605095541401274,0.5817307692307692,0.5331609566903684,0.42016806722689076,0.31645569620253167,0.625,63,54,15,25,0.5837606837606837,0.295768168709204,leave_one_gene_out,SCN5A,scion_feature_knn_k3,191,157,93,98,
157,117,40,0.5095541401273885,0.5310897435897436,0.4854211892904269,0.37398373983739835,0.27710843373493976,0.575,57,60,17,23,0.5818376068376069,0.3101857076457775,leave_one_gene_out,SCN5A,scion_feature_knn_k5,191,157,93,98,
22,8,14,0.36363636363636365,0.5,0.26666666666666666,0.0,0.0,0.0,8,0,14,0,0.5,0.6363636363636364,leave_one_gene_out,SCN8A,majority_class,326,22,202,124,
