feature_space,k,n,same_mechanism_rate,cross_gene_random_baseline,lift_over_baseline,permutation_null_mean,permutation_null_std,permutation_p_value
scion_engineered_features,1,348,0.5545977011494253,0.4891612129786459,1.1337728471403477,0.520280459770115,0.03195421450368474,0.15496900619876025
scion_engineered_features,3,348,0.5411877394636015,0.4891612129786459,1.1063586504910128,0.5204360153256704,0.019278819200004977,0.1375724855028994
scion_engineered_features,5,348,0.5367816091954023,0.4891612129786459,1.0973511287348028,0.5204548275862069,0.014987461686628753,0.14337132573485303
