model,n_gene_tests,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_gof_f1,mean_roc_auc,mean_average_precision
random_forest,7,0.5831339310493416,0.613595786299868,0.5634476351247714,0.5658493973320552,0.646591475418006,0.6633988868086231
hist_gradient_boosting,7,0.5669571458798506,0.6069229523311156,0.5513713239542047,0.5363241450426324,0.6422971019909794,0.667896832034392
logistic_regression,7,0.5904525274545476,0.5859366823652538,0.5600250217389574,0.5677541852142014,0.6301525005606637,0.6347092265830855
scion_feature_knn_k1,7,0.5767414088539845,0.6162228078044405,0.5589244194997997,0.5363931196157109,0.6162228078044405,0.5705341966758811
scion_feature_knn_k3,7,0.5495921303165515,0.5880777952206523,0.5282183622226494,0.4800884279441219,0.6071289962871596,0.5792246943175178
scion_feature_knn_k5,7,0.5124488652248161,0.5562243029079763,0.49539759578025844,0.45206904719099844,0.5868382609454038,0.5819142797955366
majority_class,7,0.4118162325144275,0.5,0.28031060541228586,0.0580130529369108,0.5,0.5181200732180565
