feature_set,input_dim,best_epoch,best_validation_roc_auc,test_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,best_validation_threshold,test_accuracy_optimized_threshold,test_precision_optimized_threshold,test_recall_optimized_threshold,test_f1_optimized_threshold
site_wt_mut_delta_abs,1280,4,0.8956144465290807,0.8684727954971858,0.8075471698113208,0.7587939698492462,0.7365853658536585,0.7475247524752475,0.19999999999999996,0.779245283018868,0.6864406779661016,0.7902439024390244,0.7346938775510204
mean_wt_mut_delta_abs,1280,10,0.8169324577861165,0.8465741088180112,0.769811320754717,0.6912442396313364,0.7317073170731707,0.7109004739336493,0.20999999999999996,0.730188679245283,0.6099290780141844,0.8390243902439024,0.7063655030800822
site_plus_mean_wt_mut_delta_abs,2560,4,0.9036116322701688,0.8711444652908068,0.7867924528301887,0.7072072072072072,0.7658536585365854,0.7353629976580797,0.18,0.7641509433962265,0.6481481481481481,0.8536585365853658,0.7368421052631579
