target_gene,fusion_model,fusion_threshold,fusion_tuned_balanced_accuracy,fusion_default_balanced_accuracy,best_frozen_feature_set,best_frozen_k,best_frozen_balanced_accuracy,delta_tuned_vs_default_balanced_accuracy,delta_tuned_vs_best_frozen_balanced_accuracy,fusion_tuned_roc_auc,best_frozen_roc_auc,delta_roc_auc,fusion_tuned_gof_f1,best_frozen_gof_f1,delta_gof_f1
SCN10A,linear_svm,0.4408470129766607,0.6111111111111112,0.7777777777777778,wt_mut_site,5,0.7222222222222222,-0.16666666666666663,-0.11111111111111105,0.8095238095238095,0.5873015873015873,0.2222222222222222,0.36363636363636365,0.6153846153846154,-0.2517482517482518
SCN1A,rbf_svm,0.2999593050283601,0.6777210884353742,0.6581632653061225,wt_mut_site,3,0.7644557823129252,0.019557823129251695,-0.08673469387755106,0.70578231292517,0.78656462585034,-0.08078231292517002,0.5,0.5238095238095238,-0.023809523809523836
SCN2A,rbf_svm,0.1677301825065201,0.623015873015873,0.6507936507936507,wt_mut_site,5,0.753968253968254,-0.02777777777777768,-0.13095238095238093,0.626984126984127,0.7658730158730158,-0.13888888888888884,0.5185185185185185,0.7647058823529411,-0.24618736383442263
SCN3A,linear_svm,0.016858979205666095,0.85,0.85,wt_site,1,0.9,0.0,-0.050000000000000044,0.95,0.9,0.04999999999999993,0.8235294117647058,0.8888888888888888,-0.065359477124183
SCN4A,rbf_svm,0.10043094585035828,0.7841880341880342,0.811965811965812,wt_mut_site,5,0.8782051282051282,-0.02777777777777779,-0.09401709401709402,0.8376068376068376,0.8888888888888888,-0.05128205128205121,0.7878787878787878,0.8823529411764706,-0.09447415329768272
SCN5A,rbf_svm,-0.19082870087050605,0.6576923076923077,0.6501068376068376,wt_mut_site,1,0.6738247863247864,0.0075854700854700585,-0.016132478632478686,0.711965811965812,0.6738247863247863,0.03814102564102573,0.49557522123893805,0.512396694214876,-0.016821472975937946
SCN8A,rbf_svm,-0.7803950399185318,0.5,0.5,mutant_site,5,0.8303571428571428,0.0,-0.3303571428571428,0.8035714285714286,0.8169642857142857,-0.013392857142857095,0.7777777777777778,0.8461538461538461,-0.06837606837606836
