method,n_target_genes,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_accuracy
fusion_threshold_tuned,7,0.671961202063243,0.7779191896538835,0.6095594401164417,0.6842593476686373
fusion_default_threshold,7,0.6998296204928858,0.7779191896538835,0.5518077781274321,0.6730866741944188
best_frozen_esm_knn_per_target,7,0.7890047594129227,0.7742024557075576,0.7190989131401659,0.7509025518068101
