score_col,top_k,domain,top_domain_count,background_domain_count,expected_domain_count_by_background,top_domain_fraction,background_domain_fraction,fold_enrichment,fisher_odds_ratio,fisher_p_value
Domain_Blind_Ambiguity_Score,10,Inactivation_Gate,0,8,0.1520912547528517,0.0,0.015209125475285171,0.0,0.0,1.0
Domain_Blind_Ambiguity_Score,10,Pore,2,44,0.8365019011406843,0.2,0.08365019011406843,2.390909090909091,2.8214285714285716,0.2005568813999488
Domain_Blind_Ambiguity_Score,10,Voltage_Sensor,0,18,0.3422053231939164,0.0,0.034220532319391636,0.0,0.0,1.0
Domain_Blind_Ambiguity_Score,25,Inactivation_Gate,1,8,0.38022813688212925,0.04,0.015209125475285171,2.63,2.9404761904761907,0.3244602940572461
Domain_Blind_Ambiguity_Score,25,Pore,5,44,2.091254752851711,0.2,0.08365019011406843,2.390909090909091,2.9615384615384617,0.04864767501613921
Domain_Blind_Ambiguity_Score,25,Voltage_Sensor,1,18,0.8555133079847909,0.04,0.034220532319391636,1.1688888888888889,1.1862745098039216,0.5899045513871585
Domain_Blind_Ambiguity_Score,50,Inactivation_Gate,1,8,0.7604562737642585,0.02,0.015209125475285171,1.315,1.3673469387755102,0.5527846517190304
Domain_Blind_Ambiguity_Score,50,Pore,9,44,4.182509505703422,0.18,0.08365019011406843,2.151818181818182,2.765853658536585,0.01615741428457612
Domain_Blind_Ambiguity_Score,50,Voltage_Sensor,4,18,1.7110266159695817,0.08,0.034220532319391636,2.3377777777777777,2.869565217391304,0.0813620725005304
Domain_Blind_Ambiguity_Score,100,Inactivation_Gate,1,8,1.520912547528517,0.01,0.015209125475285171,0.6575,0.6046176046176046,0.8172296842621601
Domain_Blind_Ambiguity_Score,100,Pore,16,44,8.365019011406844,0.16,0.08365019011406843,1.9127272727272728,2.707482993197279,0.003578475865335639
Domain_Blind_Ambiguity_Score,100,Voltage_Sensor,12,18,3.4220532319391634,0.12,0.034220532319391636,3.5066666666666664,9.545454545454545,8.40306434696942e-06
Pure_Model_Ambiguity_Score,10,Inactivation_Gate,1,8,0.1520912547528517,0.1,0.015209125475285171,6.575,8.079365079365079,0.14323980082909152
Pure_Model_Ambiguity_Score,10,Pore,1,44,0.8365019011406843,0.1,0.08365019011406843,1.1954545454545455,1.2222222222222223,0.5858306734963586
Pure_Model_Ambiguity_Score,10,Voltage_Sensor,0,18,0.3422053231939164,0.0,0.034220532319391636,0.0,0.0,1.0
Pure_Model_Ambiguity_Score,25,Inactivation_Gate,1,8,0.38022813688212925,0.04,0.015209125475285171,2.63,2.9404761904761907,0.3244602940572461
Pure_Model_Ambiguity_Score,25,Pore,4,44,2.091254752851711,0.16,0.08365019011406843,1.9127272727272728,2.1952380952380954,0.1472908071709538
Pure_Model_Ambiguity_Score,25,Voltage_Sensor,1,18,0.8555133079847909,0.04,0.034220532319391636,1.1688888888888889,1.1862745098039216,0.5899045513871585
Pure_Model_Ambiguity_Score,50,Inactivation_Gate,1,8,0.7604562737642585,0.02,0.015209125475285171,1.315,1.3673469387755102,0.5527846517190304
Pure_Model_Ambiguity_Score,50,Pore,8,44,4.182509505703422,0.16,0.08365019011406843,1.9127272727272728,2.328042328042328,0.04555467606602848
Pure_Model_Ambiguity_Score,50,Voltage_Sensor,1,18,1.7110266159695817,0.02,0.034220532319391636,0.5844444444444444,0.5510204081632653,0.8394559717481207
Pure_Model_Ambiguity_Score,100,Inactivation_Gate,1,8,1.520912547528517,0.01,0.015209125475285171,0.6575,0.6046176046176046,0.8172296842621601
Pure_Model_Ambiguity_Score,100,Pore,13,44,8.365019011406844,0.13,0.08365019011406843,1.5540909090909092,1.903967371153133,0.05338596489518967
Pure_Model_Ambiguity_Score,100,Voltage_Sensor,8,18,3.4220532319391634,0.08,0.034220532319391636,2.3377777777777777,3.617391304347826,0.010682839904022594
