score_col,top_k,top_functional_count,top_other_count,rest_functional_count,rest_other_count,expected_functional_count_by_background,background_functional_fraction,top_functional_fraction,fold_enrichment,fisher_odds_ratio,fisher_p_value
Domain_Blind_Ambiguity_Score,10,2,8,68,448,1.3307984790874525,0.13307984790874525,0.2,1.502857142857143,1.6470588235294117,0.3928887179368451
Domain_Blind_Ambiguity_Score,25,7,18,63,438,3.326996197718631,0.13307984790874525,0.28,2.104,2.7037037037037037,0.03628491393453923
Domain_Blind_Ambiguity_Score,50,14,36,56,420,6.653992395437262,0.13307984790874525,0.28,2.104,2.9166666666666665,0.0028776917659152582
Domain_Blind_Ambiguity_Score,100,29,71,41,385,13.307984790874524,0.13307984790874525,0.29,2.179142857142857,3.835451734799038,2.144720278261031e-06
Pure_Model_Ambiguity_Score,10,2,8,68,448,1.3307984790874525,0.13307984790874525,0.2,1.502857142857143,1.6470588235294117,0.3928887179368451
Pure_Model_Ambiguity_Score,25,6,19,64,437,3.326996197718631,0.13307984790874525,0.24,1.8034285714285714,2.15625,0.10017313576943428
Pure_Model_Ambiguity_Score,50,10,40,60,416,6.653992395437262,0.13307984790874525,0.2,1.502857142857143,1.7333333333333334,0.10959468228318406
Pure_Model_Ambiguity_Score,100,22,78,48,378,13.307984790874524,0.13307984790874525,0.22,1.6531428571428572,2.2211538461538463,0.005174743879762425
