model_family,metric,comparison,feature_a,feature_b,feature_a_mean,feature_b_mean,mean_difference_b_minus_a,std_difference,paired_t_p_value,wilcoxon_p_value,n_pairs
custom_nn,test_accuracy_0_5,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.7430581017940578,0.7540104148090024,0.01095231301494456,0.02637530824373333,0.2216299903528859,0.25,10
custom_nn,test_auc,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.8343825939184578,0.8377052466347955,0.0033226527163376374,0.017633252660557444,0.5659430920118503,0.556640625,10
custom_nn,test_f1_0_5,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.6976310152842062,0.7036057679067289,0.005974752622522728,0.020339854520324302,0.3771783376257163,0.431640625,10
custom_nn,test_f1_optimized,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.6948204373830261,0.705397791852896,0.010577354469869949,0.026628861496501333,0.24070546815034868,0.322265625,10
custom_nn,test_recall_0_5,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.747538294029428,0.7538394088395481,0.006301114810120112,0.044806300146099626,0.6670304707110508,0.640625,10
custom_nn,test_accuracy_0_5,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.7492941470200092,0.7540104148090024,0.0047162677889931335,0.015084350961297044,0.34863633448575637,0.3359375,10
custom_nn,test_auc,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.8377052466347955,0.8414525800710179,0.0037473334362224664,0.013168348100538633,0.3916191158810747,0.6953125,10
custom_nn,test_f1_0_5,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.7036057679067289,0.7076423451804199,0.004036577273690878,0.01965040167729599,0.5321815449511854,0.322265625,10
custom_nn,test_f1_optimized,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.705397791852896,0.7071394503644021,0.00174165851150595,0.020211081502633937,0.7913832072889828,0.556640625,10
custom_nn,test_recall_0_5,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.7538394088395481,0.7523735797894815,-0.0014658290500666137,0.04261934621904576,0.9157776830753016,0.98046875,10
custom_nn,test_accuracy_0_5,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.7540104148090024,0.7591101045047617,0.005099689695759168,0.012264204614298167,0.22104802386574735,0.275390625,10
custom_nn,test_auc,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.6663488974392177,0.8414525800710179,0.17510368263180015,0.02682618912088109,6.8722663549545744e-09,0.001953125,10
custom_nn,test_f1_0_5,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.5420202299312533,0.7076423451804199,0.16562211524916665,0.031846690930919117,5.060729582875417e-08,0.001953125,10
custom_nn,test_f1_optimized,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.5750889464660617,0.7071394503644021,0.13205050389834033,0.01913075520586489,4.1932166029391475e-09,0.001953125,10
custom_nn,test_recall_0_5,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.5694376500304122,0.7523735797894815,0.1829359297590692,0.09302250167030861,0.00015531226717568832,0.001953125,10
custom_nn,test_accuracy_0_5,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.6303566715411777,0.7591101045047617,0.12875343296358385,0.03247950333293996,5.303237543956286e-07,0.001953125,10
