epoch,train_loss,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,0.539565772380469,0.5,0.7877358490566038,0.685,0.8353658536585366,0.7527472527472527,0.8651031894934333,197,63,27,137
2,0.4219996153183703,0.5,0.7830188679245284,0.6818181818181818,0.823170731707317,0.7458563535911602,0.8871013133208254,197,63,29,135
3,0.3827245089243043,0.5,0.7900943396226415,0.6923076923076923,0.823170731707317,0.7520891364902507,0.8888367729831145,200,60,29,135
4,0.33004625479005417,0.5,0.8089622641509434,0.7219251336898396,0.823170731707317,0.7692307692307693,0.8956144465290807,208,52,29,135
5,0.32118172718668886,0.5,0.785377358490566,0.6834170854271356,0.8292682926829268,0.7493112947658402,0.8787992495309568,197,63,28,136
6,0.2938240710294472,0.5,0.7617924528301887,0.6632124352331606,0.7804878048780488,0.7170868347338936,0.8592870544090057,195,65,36,128
7,0.23469694605413474,0.5,0.7971698113207547,0.7052631578947368,0.8170731707317073,0.7570621468926554,0.8859756097560975,204,56,30,134
8,0.24220814457479514,0.5,0.7806603773584906,0.7052023121387283,0.7439024390243902,0.7240356083086054,0.8675656660412758,209,51,42,122
9,0.23136113471580003,0.5,0.7830188679245284,0.7,0.7682926829268293,0.7325581395348837,0.8699108818011256,206,54,38,126
10,0.19243932908998346,0.5,0.7877358490566038,0.7010869565217391,0.7865853658536586,0.7413793103448276,0.877157598499062,205,55,35,129
11,0.19258540320508885,0.5,0.7594339622641509,0.6597938144329897,0.7804878048780488,0.7150837988826816,0.8520168855534709,194,66,36,128
12,0.18302132582889413,0.5,0.7924528301886793,0.7087912087912088,0.7865853658536586,0.7456647398843931,0.8803001876172608,207,53,35,129
13,0.19695742807860644,0.5,0.8042452830188679,0.7341040462427746,0.774390243902439,0.7537091988130564,0.8770872420262664,214,46,37,127
14,0.1730898308022967,0.5,0.7948113207547169,0.7225433526011561,0.7621951219512195,0.7418397626112759,0.8659943714821762,212,48,39,125
15,0.16337942514779433,0.5,0.7830188679245284,0.7142857142857143,0.7317073170731707,0.7228915662650602,0.8674953095684803,212,48,44,120
16,0.14148227027002372,0.5,0.7877358490566038,0.725609756097561,0.725609756097561,0.725609756097561,0.8703799249530957,215,45,45,119
