n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,roc_auc,average_precision,experiment,feature_set,heldout_gene
16,7,9,0.75,0.7619047619047619,0.75,0.75,0.6666666666666667,0.80251924001924,leave_one_gene_out,mutant_site,SCN10A
61,49,12,0.6885245901639344,0.6488095238095238,0.6053796390875043,0.42424242424242425,0.7857142857142857,0.602319568811323,leave_one_gene_out,mutant_site,SCN1A
32,14,18,0.75,0.746031746031746,0.746031746031746,0.7777777777777778,0.7777777777777779,0.8031307427140761,leave_one_gene_out,mutant_site,SCN2A
12,2,10,0.75,0.65,0.6210526315789473,0.8421052631578947,0.8,0.9622222222222222,leave_one_gene_out,mutant_site,SCN3A
31,13,18,0.7096774193548387,0.6965811965811965,0.6983783783783784,0.7567567567567568,0.811965811965812,0.8752144269766651,leave_one_gene_out,mutant_site,SCN4A
157,117,40,0.6496815286624203,0.6251068376068376,0.5986147910565704,0.45544554455445546,0.738034188034188,0.581913666121017,leave_one_gene_out,mutant_site,SCN5A
22,8,14,0.7727272727272727,0.7410714285714286,0.7471264367816092,0.8275862068965517,0.7767857142857143,0.8528565680351394,leave_one_gene_out,mutant_site,SCN8A
16,7,9,0.625,0.6349206349206349,0.625,0.625,0.6349206349206349,0.7773869648869649,leave_one_gene_out,wt_mut_site,SCN10A
61,49,12,0.6885245901639344,0.6802721088435374,0.619376026272578,0.45714285714285713,0.7857142857142856,0.5827711373251103,leave_one_gene_out,wt_mut_site,SCN1A
32,14,18,0.6875,0.6746031746031746,0.6761133603238867,0.7368421052631579,0.7103174603174603,0.7573555789011174,leave_one_gene_out,wt_mut_site,SCN2A
12,2,10,0.5833333333333334,0.55,0.4957983193277311,0.7058823529411765,0.7,0.9354365079365078,leave_one_gene_out,wt_mut_site,SCN3A
31,13,18,0.7096774193548387,0.6965811965811965,0.6983783783783784,0.7567567567567568,0.8247863247863247,0.8874753745662043,leave_one_gene_out,wt_mut_site,SCN4A
157,117,40,0.6878980891719745,0.6425213675213676,0.6256994112781589,0.4731182795698925,0.7427350427350428,0.5929731088069014,leave_one_gene_out,wt_mut_site,SCN5A
22,8,14,0.6363636363636364,0.6339285714285714,0.6239316239316239,0.6923076923076923,0.7410714285714286,0.8476207149526476,leave_one_gene_out,wt_mut_site,SCN8A
16,7,9,0.5625,0.5634920634920635,0.5607843137254902,0.5882352941176471,0.5555555555555556,0.7254028379028379,leave_one_gene_out,biochem_only,SCN10A
61,49,12,0.47540983606557374,0.48469387755102045,0.43123543123543123,0.2727272727272727,0.5340136054421769,0.2551366900166247,leave_one_gene_out,biochem_only,SCN1A
32,14,18,0.5,0.5,0.4980392156862745,0.5294117647058824,0.6170634920634921,0.7437397583320815,leave_one_gene_out,biochem_only,SCN2A
12,2,10,0.4166666666666667,0.25,0.29411764705882354,0.5882352941176471,0.32499999999999996,0.836024531024531,leave_one_gene_out,biochem_only,SCN3A
31,13,18,0.7419354838709677,0.7564102564102564,0.7416666666666667,0.75,0.829059829059829,0.8272302860538154,leave_one_gene_out,biochem_only,SCN4A
157,117,40,0.6114649681528662,0.599465811965812,0.5676102758589553,0.42990654205607476,0.6216880341880343,0.37137890742489565,leave_one_gene_out,biochem_only,SCN5A
22,8,14,0.4090909090909091,0.45535714285714285,0.4078674948240165,0.38095238095238093,0.6160714285714286,0.7156565656565657,leave_one_gene_out,biochem_only,SCN8A
