epoch,loss
1,6.398651599884033
2,6.287496566772461
3,5.64744758605957
4,5.569560527801514
5,5.537452220916748
6,5.504977226257324
7,5.473840713500977
8,5.446869373321533
9,5.422153949737549
10,5.3951263427734375
11,5.371588230133057
12,5.354898929595947
13,5.334461688995361
14,5.317861080169678
15,5.30349063873291
16,5.282021522521973
17,5.270303726196289
18,5.256078720092773
19,5.246217727661133
20,5.240167140960693
21,5.229854106903076
22,5.218909740447998
23,5.209378242492676
24,5.202034950256348
25,5.190521717071533
26,5.18464469909668
27,5.173293113708496
28,5.1704559326171875
29,5.160926342010498
30,5.158653736114502
31,5.15091609954834
32,5.144505023956299
33,5.131875514984131
34,5.1278910636901855
35,5.117247581481934
36,5.112631320953369
37,5.112807750701904
38,5.1002349853515625
39,5.106801509857178
40,5.09705924987793
41,5.08936071395874
42,5.091024398803711
43,5.087730407714844
44,5.0801591873168945
45,5.0768208503723145
46,5.076551914215088
47,5.073410511016846
48,5.070084095001221
49,5.064980983734131
50,5.062838554382324
51,5.062441825866699
52,5.061611652374268
53,5.053849220275879
54,5.048239231109619
55,5.054152011871338
56,5.053864479064941
57,5.053149700164795
58,5.049149990081787
59,5.050889492034912
60,5.045434951782227
61,5.043051719665527
62,5.0421648025512695
63,5.040194511413574
64,5.037262916564941
65,5.035519599914551
66,5.031704902648926
67,5.033468246459961
68,5.039432525634766
69,5.03404426574707
70,5.034738540649414
71,5.033924579620361
72,5.031729698181152
73,5.03142786026001
74,5.028181552886963
75,5.025537490844727
76,5.027039527893066
77,5.025160789489746
78,5.028181076049805
79,5.025586128234863
80,5.023188591003418
81,5.017627716064453
82,5.020554542541504
83,5.016698360443115
84,5.014515399932861
85,5.0129828453063965
86,5.013909816741943
87,5.01001501083374
88,5.010343551635742
89,5.010076522827148
90,5.010890960693359
91,5.010519981384277
92,5.009982109069824
93,5.005919456481934
94,5.00590181350708
95,5.005150318145752
96,5.005308628082275
97,5.005868434906006
98,5.005476951599121
99,5.004447937011719
100,5.00751256942749
101,5.009897708892822
102,5.004014492034912
103,5.00247859954834
104,5.00055456161499
105,4.9996137619018555
106,5.002705097198486
107,4.998044013977051
108,5.00433349609375
109,5.001780033111572
110,4.998239994049072
111,5.000113487243652
112,5.001093864440918
113,4.9968767166137695
114,4.998375415802002
115,5.0043745040893555
116,4.999178886413574
117,4.999734878540039
118,4.996187210083008
119,4.997533321380615
120,4.997413635253906
121,4.997584342956543
122,4.997745513916016
123,4.997067928314209
124,4.994492053985596
125,4.995077610015869
126,4.995553493499756
127,4.994723796844482
128,4.99472188949585
129,4.994176387786865
130,4.995602607727051
131,4.994020938873291
132,4.993799686431885
133,4.994387149810791
134,4.994193077087402
135,4.995190620422363
136,4.994198799133301
137,4.99458646774292
138,4.994104385375977
139,4.994088649749756
140,4.99307918548584
141,4.995268821716309
142,4.993525981903076
143,4.9936933517456055
144,4.993953227996826
145,4.993558883666992
146,4.992946147918701
147,4.992922306060791
148,4.9933180809021
149,4.992547512054443
150,4.993466854095459
151,4.993224620819092
152,4.992503643035889
153,4.993119716644287
154,4.993513107299805
155,4.992766857147217
156,4.9926910400390625
157,4.9921464920043945
158,4.992282867431641
159,4.991811275482178
160,4.991508483886719
161,4.992023944854736
162,4.99193811416626
163,4.991191387176514
164,4.991940021514893
165,4.991653919219971
166,4.992329120635986
167,4.99238920211792
168,4.991436004638672
169,4.992557525634766
170,4.993463039398193
171,4.992281913757324
172,4.99104642868042
173,4.9914350509643555
174,4.990846633911133
175,4.9913177490234375
176,4.989866256713867
177,4.991366863250732
178,4.991028308868408
179,4.990379333496094
180,4.991385459899902
181,4.991962909698486
182,4.990416049957275
183,4.99011754989624
184,4.991479873657227
185,4.989523410797119
186,4.990094184875488
