target_gene,method,feature_set,model_name,pca_dim_requested,pca_dim_actual,C,gamma,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN10A,trained_esm_pca_classifier,wt_site,rbf_svm,32,32,10.0,scale,16,7,9,0.6875,0.7063492063492063,0.6862745098039216,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.80251924001924
SCN1A,trained_esm_pca_classifier,mutant_site,rbf_svm,16,16,10.0,scale,61,49,12,0.6885245901639344,0.7117346938775511,0.6314785373608903,0.4864864864864865,0.36,0.75,0.7534013605442176,0.46313393115472334
SCN2A,trained_esm_pca_classifier,mutant_site,linear_svm,64,64,0.01,none,32,14,18,0.71875,0.7103174603174603,0.7117117117117118,0.7567567567567568,0.7368421052631579,0.7777777777777778,0.7341269841269841,0.7740005561240841
SCN3A,trained_esm_pca_classifier,wt_mut_site,rbf_svm,16,16,10.0,scale,12,2,10,0.8333333333333334,0.9,0.7777777777777777,0.8888888888888888,1.0,0.8,0.8500000000000001,0.9733333333333333
SCN4A,trained_esm_pca_classifier,mutant_site,linear_svm,128,128,0.01,none,31,13,18,0.7419354838709677,0.7350427350427351,0.7350427350427351,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8376068376068375,0.9080322524013009
SCN5A,trained_esm_pca_classifier,mutant_site,rbf_svm,16,16,10.0,scale,157,117,40,0.7070063694267515,0.6964743589743589,0.6625233644859814,0.54,0.45,0.675,0.7794871794871795,0.557941133463773
SCN8A,trained_esm_pca_classifier,mutant_site,rbf_svm,64,64,10.0,scale,22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8928571428571428,0.9530552780552779
