feature_set,pca_dim,model_name,C,gamma,n_inner_genes,mean_accuracy,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_average_precision,outer_target_gene
delta_site,16,rbf_svm,0.1,0.1,6,0.49101839388063606,0.5192307692307693,0.6626940519797663,0.33674445467179237,0.7195979492195445,SCN5A
mutant_site,128,rbf_svm,0.1,0.01,6,0.48564204979461456,0.5128205128205128,0.7662789261003548,0.3339692465311818,0.781648065220894,SCN5A
mutant_site,128,rbf_svm,0.1,0.1,6,0.48564204979461456,0.5128205128205128,0.7545694880516308,0.3339692465311818,0.7489404436497066,SCN5A
mutant_site,32,rbf_svm,0.1,0.1,6,0.48564204979461456,0.5128205128205128,0.7522217861503576,0.3339692465311818,0.7757559978565167,SCN5A
wt_mut_site,64,rbf_svm,0.1,0.1,6,0.48564204979461456,0.5128205128205128,0.7415518344089773,0.3339692465311818,0.7460383496202095,SCN5A
mutant_site,64,rbf_svm,0.1,0.1,6,0.48564204979461456,0.5128205128205128,0.7185846560846562,0.3339692465311818,0.7425841135167603,SCN5A
wt_mut_site,128,rbf_svm,0.1,0.1,6,0.48026570570859306,0.5064102564102564,0.7125457875457876,0.33130967206309675,0.7056592821822707,SCN5A
delta_site,32,rbf_svm,0.1,0.1,6,0.48026570570859306,0.5064102564102564,0.655993080993081,0.33130967206309675,0.7237725931179008,SCN5A
delta_site,128,rbf_svm,0.1,0.1,6,0.48026570570859306,0.5064102564102564,0.6523184487470202,0.33130967206309675,0.6796412464394077,SCN5A
delta_site,64,rbf_svm,0.1,0.1,6,0.48026570570859306,0.5064102564102564,0.6512424414210128,0.33130967206309675,0.7053575508906827,SCN5A
delta_site,8,linear_svm,1.0,none,6,0.4589666495734714,0.4964863509506367,0.48606968428397,0.45509327274033157,0.6467377920457712,SCN5A
delta_site,8,linear_svm,10.0,none,6,0.4589666495734714,0.4964863509506367,0.48606968428397,0.45509327274033157,0.6467377920457712,SCN5A
delta_site,8,logistic_regression,0.1,none,6,0.46720251496989995,0.4910543490900634,0.4750127187627187,0.48418214835206985,0.6494345682967798,SCN5A
delta_site,8,logistic_regression,1.0,none,6,0.46720251496989995,0.4910543490900634,0.4750127187627187,0.48418214835206985,0.6494345682967798,SCN5A
delta_site,8,logistic_regression,10.0,none,6,0.46720251496989995,0.4910543490900634,0.4750127187627187,0.48418214835206985,0.6494345682967798,SCN5A
delta_site,8,linear_svm,0.1,none,6,0.453758316240138,0.49053396999825577,0.48606968428397,0.4522258892277868,0.6467377920457712,SCN5A
delta_site,8,linear_svm,0.01,none,6,0.453758316240138,0.49053396999825577,0.4852429647072504,0.4522258892277868,0.6467406928162158,SCN5A
delta_site,8,logistic_regression,0.01,none,6,0.45604586651816953,0.45108836269550556,0.479547866155009,0.47967234443050116,0.6515533565357371,SCN5A
mutant_site,64,rbf_svm,10.0,scale,6,0.7332219062583856,0.7469416826559684,0.7650946275946277,0.696858673792817,0.7805515328876208,SCN8A
mutant_site,8,rbf_svm,1.0,0.01,6,0.7193395141829121,0.7390905721262864,0.7706065759637188,0.6682801849468515,0.7643435380448413,SCN8A
mutant_site,128,rbf_svm,1.0,scale,6,0.7086553144705636,0.7384771643700215,0.784902465259608,0.6938292645317969,0.787124313410111,SCN8A
mutant_site,128,rbf_svm,10.0,scale,6,0.7101776213583695,0.7348810250595964,0.7613204256061398,0.6677503593985895,0.7662220493511542,SCN8A
mutant_site,64,rbf_svm,1.0,scale,6,0.7256634749360306,0.7283748328391186,0.7836865515436945,0.7078890035546382,0.7934411203522601,SCN8A
wt_mut_site,128,rbf_svm,1.0,scale,6,0.6852092387938097,0.7280972004186289,0.759720041862899,0.6743269767463316,0.7629110870050863,SCN8A
wt_mut_site,128,linear_svm,0.01,none,6,0.6777465521393662,0.726374716553288,0.7372797837083551,0.6352802382214147,0.7514207959074123,SCN8A
mutant_site,32,rbf_svm,10.0,scale,6,0.7014599386485617,0.7192772835629978,0.7686188150473865,0.6626113895850737,0.7775209445338914,SCN8A
