method,n_target_genes,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_accuracy
trained_esm_pca_classifier,7,0.75192712616182,0.787735167327004,0.7105313476742048,0.7421759421395436
best_frozen_esm_knn_per_target,7,0.7890047594129227,0.7742024557075576,0.7190989131401659,0.7509025518068101
