target_gene,trained_feature_set,trained_model,trained_pca_dim,trained_balanced_accuracy,trained_roc_auc,trained_gof_f1,best_frozen_feature_set,best_frozen_k,best_frozen_balanced_accuracy,best_frozen_roc_auc,best_frozen_gof_f1,delta_balanced_accuracy,delta_roc_auc,delta_gof_f1
SCN10A,wt_site,rbf_svm,32,0.7063492063492063,0.6666666666666667,0.6666666666666666,wt_mut_site,5,0.7222222222222222,0.5873015873015873,0.6153846153846154,-0.015873015873015928,0.07936507936507942,0.05128205128205121
SCN1A,mutant_site,rbf_svm,16,0.7117346938775511,0.7534013605442176,0.4864864864864865,wt_mut_site,3,0.7644557823129252,0.78656462585034,0.5238095238095238,-0.05272108843537415,-0.03316326530612246,-0.03732303732303732
SCN2A,mutant_site,linear_svm,64,0.7103174603174603,0.7341269841269841,0.7567567567567568,wt_mut_site,5,0.753968253968254,0.7658730158730158,0.7647058823529411,-0.04365079365079361,-0.031746031746031744,-0.007949125596184325
SCN3A,wt_mut_site,rbf_svm,16,0.9,0.8500000000000001,0.8888888888888888,wt_site,1,0.9,0.9,0.8888888888888888,0.0,-0.04999999999999993,0.0
SCN4A,mutant_site,linear_svm,128,0.7350427350427351,0.8376068376068375,0.7777777777777778,wt_mut_site,5,0.8782051282051282,0.8888888888888888,0.8823529411764706,-0.1431623931623931,-0.05128205128205132,-0.10457516339869277
SCN5A,mutant_site,rbf_svm,16,0.6964743589743589,0.7794871794871795,0.54,wt_mut_site,1,0.6738247863247864,0.6738247863247863,0.512396694214876,0.02264957264957257,0.10566239316239323,0.027603305785124044
SCN8A,mutant_site,rbf_svm,64,0.8035714285714286,0.8928571428571428,0.8571428571428571,mutant_site,5,0.8303571428571428,0.8169642857142857,0.8461538461538461,-0.02678571428571419,0.0758928571428571,0.01098901098901095
