k,n_query,n_candidate,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,method,target_gene,candidate_pool,hidden_dim,proj_dim,seed,final_loss
1,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7840136054421769,0.39510572582561176,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,1,4.711598873138428
3,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7925170068027211,0.4115747640337804,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,1,4.711598873138428
5,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7925170068027211,0.4115747640337804,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,1,4.711598873138428
1,61,287,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,1,
3,61,287,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,1,
5,61,287,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,1,
1,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7840136054421769,0.39510572582561176,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,2,4.711624622344971
3,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7840136054421769,0.39510572582561176,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,2,4.711624622344971
5,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7840136054421769,0.39510572582561176,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,2,4.711624622344971
1,61,287,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,2,
3,61,287,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,2,
5,61,287,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,2,
1,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7840136054421769,0.39510572582561176,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,3,4.711520195007324
3,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7925170068027211,0.4115747640337804,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,3,4.711520195007324
5,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7925170068027211,0.4115747640337804,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,3,4.711520195007324
1,61,287,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,3,
3,61,287,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,3,
5,61,287,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,frozen_esm_wt_mut,SCN1A,non-SCN1A,256,64,3,
1,61,287,0.7868852459016393,0.804421768707483,0.7299965951651345,0.6060606060606061,0.47619047619047616,0.8333333333333334,0.804421768707483,0.4296122820712984,contrastive_projection_wt_mut,SCN1A,non-SCN1A,256,64,4,4.709226608276367
