method,heldout_gene,feature_set,k,n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,tn,fp,fn,tp,seed
contrastive_lora_esm_knn,SCN1A,mutant_site,1,61,49,12,0.7213114754098361,0.7636054421768708,0.6702702702702703,0.5405405405405406,0.4,0.8333333333333334,0.7636054421768708,0.366120218579235,34,15,2,10,42
contrastive_lora_esm_knn,SCN1A,mutant_site,5,61,49,12,0.639344262295082,0.7125850340136055,0.6005952380952381,0.4761904761904761,0.3333333333333333,0.8333333333333334,0.7406462585034014,0.3575537988581467,29,20,2,10,42
contrastive_lora_esm_knn,SCN1A,mutant_site,3,61,49,12,0.6065573770491803,0.6921768707482994,0.5734265734265734,0.4545454545454545,0.3125,0.8333333333333334,0.7295918367346939,0.3198341836734694,27,22,2,10,42
contrastive_lora_esm_knn,SCN1A,wt_mut_site,3,61,49,12,0.6229508196721312,0.6394557823129252,0.5665739882607352,0.4102564102564102,0.2962962962962963,0.6666666666666666,0.6938775510204082,0.2849126182459516,30,19,4,8,42
contrastive_lora_esm_knn,SCN1A,wt_mut_site,5,61,49,12,0.6229508196721312,0.6394557823129252,0.5665739882607352,0.4102564102564102,0.2962962962962963,0.6666666666666666,0.6930272108843537,0.3058048433048432,30,19,4,8,42
contrastive_lora_esm_knn,SCN1A,wt_mut_site,1,61,49,12,0.6885245901639344,0.6802721088435374,0.619376026272578,0.4571428571428571,0.3478260869565217,0.6666666666666666,0.6802721088435374,0.2974578284628177,34,15,4,8,42
contrastive_lora_esm_knn,SCN1A,delta_site,5,61,49,12,0.639344262295082,0.6496598639455782,0.5795739348370927,0.4210526315789473,0.3076923076923077,0.6666666666666666,0.6675170068027211,0.3260633600386478,31,18,4,8,42
contrastive_lora_esm_knn,SCN1A,wt_site,3,61,49,12,0.5737704918032787,0.6088435374149659,0.5279761904761905,0.3809523809523809,0.2666666666666666,0.6666666666666666,0.657312925170068,0.2717999224480353,27,22,4,8,42
contrastive_lora_esm_knn,SCN1A,wt_site,5,61,49,12,0.6229508196721312,0.6079931972789117,0.5538950715421304,0.3783783783783784,0.28,0.5833333333333334,0.6454081632653061,0.2756370426958662,31,18,5,7,42
contrastive_lora_esm_knn,SCN1A,wt_site,1,61,49,12,0.6557377049180327,0.6284013605442177,0.5793103448275863,0.4,0.3043478260869565,0.5833333333333334,0.6284013605442178,0.259503444998812,33,16,5,7,42
contrastive_lora_esm_knn,SCN1A,delta_site,3,61,49,12,0.5409836065573771,0.494047619047619,0.4649122807017544,0.2631578947368421,0.1923076923076923,0.4166666666666667,0.5629251700680272,0.3034906495666872,28,21,7,5,42
