setting,feature_set,k,n_queries,accuracy,balanced_accuracy,roc_auc,average_precision,gof_f1,macro_f1
global_all_348_cross_gene,delta_site,1,348,0.6063218390804598,0.6030020703933747,0.6030020703933747,0.4590942106586458,0.5418060200668896,0.5983589294289108
global_all_348_cross_gene,delta_site,3,348,0.6063218390804598,0.5980331262939959,0.6244133885438234,0.490371678991543,0.5292096219931272,0.5954690085274278
global_all_348_cross_gene,delta_site,5,348,0.603448275862069,0.5906832298136646,0.6257763975155279,0.4778390831749472,0.5140845070422535,0.5895665253657869
global_all_348_cross_gene,mutant_site,1,348,0.6522988505747126,0.6584886128364389,0.6584886128364389,0.5015895231574964,0.6109324758842444,0.648323380799265
global_all_348_cross_gene,mutant_site,3,348,0.6494252873563219,0.6648033126293995,0.7081435472739821,0.5693514221230411,0.6257668711656442,0.6480185707179573
global_all_348_cross_gene,mutant_site,5,348,0.6206896551724138,0.6372670807453416,0.6957211870255349,0.5704814199607462,0.6,0.619672131147541
global_all_348_cross_gene,wt_mut_site,1,348,0.6695402298850575,0.6752587991718426,0.6752587991718426,0.5165363224820338,0.627831715210356,0.6653370462356689
global_all_348_cross_gene,wt_mut_site,3,348,0.6206896551724138,0.6372670807453416,0.6834368530020705,0.5413117312332447,0.6,0.619672131147541
global_all_348_cross_gene,wt_mut_site,5,348,0.6379310344827587,0.65527950310559,0.6849033816425121,0.5344559694201672,0.6181818181818182,0.6369597615499254
global_all_348_cross_gene,wt_site,1,348,0.6580459770114943,0.662008281573499,0.6620082815734989,0.5053065183384639,0.6123778501628665,0.6532326268809191
global_all_348_cross_gene,wt_site,3,348,0.6005747126436781,0.611904761904762,0.6579710144927535,0.5235112496943017,0.5696594427244582,0.5985026436142398
global_all_348_cross_gene,wt_site,5,348,0.6149425287356322,0.6337474120082816,0.6556590752242926,0.4991688805566146,0.5988023952095808,0.6143183246766135
heldout_SCN1A,delta_site,1,61,0.6229508196721312,0.5450680272108843,0.5450680272108844,0.21396044756700494,0.30303030303030304,0.5223016683690841
heldout_SCN1A,delta_site,3,61,0.6557377049180327,0.6598639455782312,0.6624149659863946,0.30872406862989354,0.43243243243243246,0.5926868044515103
heldout_SCN1A,delta_site,5,61,0.6229508196721312,0.6079931972789117,0.6768707482993198,0.33364518045810476,0.3783783783783784,0.5538950715421304
heldout_SCN1A,mutant_site,1,61,0.6885245901639344,0.7117346938775511,0.7117346938775512,0.3191803278688525,0.4864864864864865,0.6314785373608903
heldout_SCN1A,mutant_site,3,61,0.6885245901639344,0.7431972789115646,0.7780612244897959,0.40252608689513,0.5128205128205128,0.6419524250849552
heldout_SCN1A,mutant_site,5,61,0.5901639344262295,0.6505102040816326,0.766156462585034,0.44792082523554866,0.4186046511627907,0.5510744774801295
heldout_SCN1A,wt_mut_site,1,61,0.7377049180327869,0.7423469387755102,0.7423469387755102,0.3559985096870343,0.5294117647058824,0.6737967914438503
heldout_SCN1A,wt_mut_site,3,61,0.6721311475409836,0.7644557823129252,0.78656462585034,0.39994045116995935,0.5238095238095238,0.6369047619047619
heldout_SCN1A,wt_mut_site,5,61,0.6229508196721312,0.7023809523809523,0.7899659863945578,0.4276453728816819,0.46511627906976744,0.5869885192817191
heldout_SCN1A,wt_site,1,61,0.7213114754098361,0.6692176870748299,0.6692176870748299,0.29687949381650847,0.45161290322580644,0.6323998582063098
heldout_SCN1A,wt_site,3,61,0.639344262295082,0.6811224489795918,0.7363945578231292,0.356581032810541,0.45,0.5908536585365853
heldout_SCN1A,wt_site,5,61,0.5901639344262295,0.6505102040816326,0.7066326530612245,0.349480611103002,0.4186046511627907,0.5510744774801295
