step,triplet_loss
1,0.0863637924194336
2,0.1928105354309082
3,0.05626589059829712
4,0.6577962636947632
5,0.24906259775161743
6,0.12192893028259277
7,0.0
8,0.11737406253814697
9,0.25073009729385376
10,0.0
11,0.36507660150527954
12,0.2618488669395447
13,0.16548693180084229
14,0.0
15,0.0033277273178100586
16,0.1526498794555664
17,0.15885812044143677
18,0.630026638507843
19,0.3382483124732971
20,0.034513115882873535
21,0.18766570091247559
22,0.0
23,0.16882598400115967
24,0.0
25,0.0
26,0.05153787136077881
27,0.2597144842147827
28,0.14581483602523804
29,0.3100426197052002
30,0.29298514127731323
31,0.7724553942680359
32,0.31537461280822754
33,0.3767421245574951
34,0.08545029163360596
35,0.5857987403869629
36,0.46439939737319946
37,0.1785968542098999
38,0.22092396020889282
39,0.13080960512161255
40,0.530078649520874
41,0.0
42,0.1986594796180725
43,0.09490025043487549
44,0.1714511513710022
45,0.283316433429718
46,0.12786835432052612
47,0.5119398236274719
48,0.03381568193435669
49,0.0
50,0.49505454301834106
51,0.1829838752746582
52,0.336276650428772
53,0.20131880044937134
54,0.09315323829650879
55,0.23183512687683105
56,0.15802305936813354
57,0.6255953311920166
58,0.0
59,0.0
60,0.0
61,0.0
62,0.6115341782569885
63,0.27027374505996704
64,0.0
65,0.12342208623886108
66,0.1314108967781067
67,0.16027826070785522
68,0.025794923305511475
69,0.1341429352760315
70,0.20971137285232544
71,0.6177014708518982
72,0.253082811832428
73,0.26276320219039917
74,0.0
75,0.0
76,0.06981050968170166
77,0.051391005516052246
78,0.25069916248321533
79,0.30309605598449707
80,0.32215607166290283
81,0.032793521881103516
82,0.26448726654052734
83,0.23628586530685425
84,0.0
85,0.15165948867797852
86,0.31440627574920654
87,0.0
88,0.5744407176971436
89,0.19049149751663208
90,0.3435772657394409
91,0.04894191026687622
92,0.30619925260543823
93,0.13286101818084717
94,0.20125526189804077
95,0.43640297651290894
96,0.0
97,0.431408166885376
98,0.02778017520904541
99,0.11487650871276855
100,0.24909323453903198
101,0.4943251609802246
102,0.28655147552490234
103,0.0
104,0.2292313575744629
105,0.0
106,0.05932331085205078
107,0.2626185417175293
108,0.20033246278762817
109,0.0748831033706665
110,0.3196243643760681
111,0.2189335823059082
112,0.057186007499694824
113,0.39437198638916016
114,0.13074499368667603
115,0.19371557235717773
116,0.4510728120803833
117,0.06902176141738892
118,0.21282166242599487
119,0.0
120,0.1935308575630188
121,0.18622249364852905
122,0.20954954624176025
123,0.17845553159713745
124,0.0
125,0.3382382392883301
126,0.000624537467956543
127,0.0
128,0.24210608005523682
129,0.24509304761886597
130,0.1589740514755249
131,0.0
132,0.5147897601127625
133,0.0
134,0.5964176058769226
135,0.05058521032333374
136,0.0029097795486450195
137,0.23350638151168823
138,0.21015667915344238
139,0.1913626790046692
140,0.18131673336029053
141,0.311096727848053
142,0.0
143,0.21425294876098633
144,0.32510238885879517
145,0.16665393114089966
146,0.13235682249069214
147,0.09331470727920532
148,0.38821476697921753
149,0.0
150,0.007527172565460205
151,0.2428775429725647
152,0.0
153,0.569905161857605
154,0.17736488580703735
155,0.21104687452316284
156,0.14296531677246094
157,0.3295121192932129
158,0.364401638507843
159,0.10206228494644165
160,0.08837580680847168
161,0.16429650783538818
162,0.30504441261291504
163,0.0
164,0.10658401250839233
165,0.23268651962280273
166,0.21041762828826904
167,0.12378400564193726
168,0.37049126625061035
169,0.0
170,0.04902017116546631
171,0.0
172,0.0
173,0.47471165657043457
174,0.10675084590911865
175,0.0113753080368042
176,0.3998076319694519
177,0.0
178,0.0
179,0.4005693793296814
180,0.07257193326950073
181,0.0
182,0.16887438297271729
183,0.20389288663864136
184,0.0
185,0.2717985510826111
186,0.0
187,0.31240010261535645
188,0.28465062379837036
189,0.0
190,0.21310192346572876
191,0.16312819719314575
192,0.0
193,0.01437288522720337
194,0.01688021421432495
195,0.2321644425392151
196,0.2193390130996704
197,0.0
198,0.14359116554260254
199,0.4173743724822998
200,0.6912625432014465
