epoch,train_loss,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,0.537214068871624,0.5,0.7995283018867925,0.6889952153110048,0.8780487804878049,0.7721179624664879,0.876313320825516,195,65,20,144
2,0.43795149506263015,0.5,0.8207547169811321,0.7365591397849462,0.8353658536585366,0.7828571428571428,0.8795262664165102,211,49,27,137
3,0.4024423984986431,0.5,0.7900943396226415,0.694300518134715,0.8170731707317073,0.7507002801120448,0.8825750469043152,201,59,30,134
4,0.3507126952117344,0.5,0.8183962264150944,0.7377049180327869,0.823170731707317,0.7780979827089337,0.9036116322701688,212,48,29,135
5,0.3245211625998875,0.5,0.8066037735849056,0.7277777777777777,0.7987804878048781,0.7616279069767442,0.8817073170731706,211,49,33,131
6,0.293598435678572,0.5,0.8183962264150944,0.7351351351351352,0.8292682926829268,0.7793696275071633,0.8984521575984991,211,49,28,136
7,0.2567875925100075,0.5,0.7995283018867925,0.7257142857142858,0.774390243902439,0.7492625368731564,0.8788930581613509,212,48,37,127
8,0.23844471138040974,0.5,0.7948113207547169,0.7037037037037037,0.8109756097560976,0.7535410764872521,0.8837476547842402,204,56,31,133
9,0.2514968881348394,0.5,0.7971698113207547,0.75,0.7134146341463414,0.73125,0.8798311444652909,221,39,47,117
10,0.2121065509206844,0.5,0.7783018867924528,0.6966292134831461,0.7560975609756098,0.7251461988304093,0.8687148217636023,206,54,40,124
11,0.21227763635369967,0.5,0.7948113207547169,0.712707182320442,0.7865853658536586,0.7478260869565218,0.874577861163227,208,52,35,129
12,0.1829530619225412,0.5,0.7665094339622641,0.6756756756756757,0.7621951219512195,0.7163323782234957,0.8655253283302065,200,60,39,125
13,0.16754896320262044,0.5,0.7806603773584906,0.7204968944099379,0.7073170731707317,0.7138461538461538,0.8667213883677298,215,45,48,116
14,0.16480836574480218,0.5,0.785377358490566,0.7354838709677419,0.6951219512195121,0.7147335423197492,0.8594981238273921,219,41,50,114
15,0.198581522084632,0.5,0.7948113207547169,0.712707182320442,0.7865853658536586,0.7478260869565218,0.8689024390243902,208,52,35,129
16,0.16517996788024902,0.5,0.7783018867924528,0.6923076923076923,0.7682926829268293,0.7283236994219653,0.8599437148217636,204,56,38,126
