epoch,loss
1,6.305633068084717
2,6.302671432495117
3,5.5326924324035645
4,5.379511833190918
5,5.310436248779297
6,5.258052825927734
7,5.21894645690918
8,5.1880950927734375
9,5.16139554977417
10,5.128999710083008
11,5.112943649291992
12,5.08806037902832
13,5.063076019287109
14,5.037769794464111
15,5.020156383514404
16,5.005205154418945
17,4.9955315589904785
18,4.970078945159912
19,4.962676048278809
20,4.942278861999512
21,4.932877540588379
22,4.9307942390441895
23,4.909259796142578
24,4.9093170166015625
25,4.898277759552002
26,4.89577579498291
27,4.888156414031982
28,4.884332180023193
29,4.872412204742432
30,4.861446380615234
31,4.862771511077881
32,4.857313632965088
33,4.850587844848633
34,4.85174560546875
35,4.852901458740234
36,4.840971946716309
37,4.8404860496521
38,4.838688373565674
39,4.834033489227295
40,4.823225021362305
41,4.822879314422607
42,4.8294997215271
43,4.817540168762207
44,4.817781448364258
45,4.816389083862305
46,4.81766414642334
47,4.806947708129883
48,4.808311462402344
49,4.8026814460754395
50,4.802633762359619
51,4.80082893371582
52,4.792761325836182
53,4.796091079711914
54,4.796782493591309
55,4.791505336761475
56,4.784421443939209
57,4.792912483215332
58,4.7897467613220215
59,4.788839340209961
60,4.784540176391602
61,4.787071228027344
62,4.785642147064209
63,4.781825065612793
64,4.78384256362915
65,4.775005340576172
66,4.776510238647461
67,4.7751688957214355
68,4.777475357055664
69,4.771459102630615
70,4.77180290222168
71,4.766968250274658
72,4.775618076324463
73,4.766680717468262
74,4.774117469787598
75,4.761451244354248
76,4.77058219909668
77,4.75877046585083
78,4.7601799964904785
79,4.755975723266602
80,4.759720325469971
81,4.760475158691406
82,4.762610912322998
83,4.753651142120361
84,4.755046367645264
85,4.755831718444824
86,4.752016067504883
87,4.750999450683594
88,4.747495174407959
89,4.752533912658691
90,4.746532440185547
91,4.742673397064209
92,4.749505043029785
93,4.748607635498047
94,4.7441229820251465
95,4.745563983917236
96,4.743438243865967
97,4.7461113929748535
98,4.739743232727051
99,4.742156028747559
100,4.739597797393799
101,4.738379955291748
102,4.740904331207275
103,4.745303153991699
104,4.744275093078613
105,4.738885879516602
106,4.737784385681152
107,4.741113185882568
108,4.73573637008667
109,4.735542297363281
110,4.742619514465332
111,4.737039566040039
112,4.7347636222839355
113,4.7363104820251465
114,4.73592472076416
115,4.733689308166504
116,4.735301494598389
117,4.734641075134277
118,4.731725215911865
119,4.731722354888916
120,4.730789661407471
121,4.732973575592041
122,4.730947494506836
123,4.729182720184326
124,4.733232021331787
125,4.730473518371582
126,4.730961322784424
127,4.728489875793457
128,4.729282379150391
129,4.727125644683838
130,4.728646755218506
131,4.729437828063965
132,4.7282562255859375
