Mechanism_Label,count,mean,median,std,min,max
GOF,12,0.9139916666666666,0.9874,0.17350680080112832,0.3859,0.9998
LOF,49,0.9089591836734694,0.9842,0.16792635280380025,0.2251,0.9999
