Mapped_Functional_Category,n,mean_uncertainty,median_uncertainty,mean_confidence,accuracy
Inactivation_Gate,21,0.32007146842799566,0.3214864435053667,0.6799285315720043,0.42857142857142855
Voltage_Sensor,26,0.21006276713239685,0.18734709294768298,0.7899372328676031,0.5
Pore,55,0.20312213342751856,0.190989152568605,0.7968778665724814,0.7272727272727273
Other,428,0.16757558529279878,0.11679627495948594,0.8324244147072012,0.7873831775700935
