k,n_query,n_candidate,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,method,target_gene,candidate_pool,hidden_dim,proj_dim,seed,final_loss
1,61,287,0.7377049180327869,0.7738095238095238,0.6847545219638242,0.5555555555555556,0.4166666666666667,0.8333333333333334,0.773809523809524,0.3800091074681239,contrastive_projection_wt_mut,SCN1A,non-SCN1A,512,64,2,4.707022666931152
3,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.7976190476190477,0.4296122820712984,contrastive_projection_wt_mut,SCN1A,non-SCN1A,512,64,2,4.707022666931152
5,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.7976190476190477,0.4296122820712984,contrastive_projection_wt_mut,SCN1A,non-SCN1A,512,64,2,4.707022666931152
