threshold,accuracy,precision,recall,f1
0.0,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.001,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.002,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.003,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.004,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.005,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.006,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.007,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.008,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.009000000000000001,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.01,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.011,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.012,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.013000000000000001,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.014,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.015,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.016,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.017,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.018000000000000002,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.019,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.02,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.021,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.022,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.023,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.024,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.025,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.026000000000000002,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.027,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.028,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.029,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.03,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.031,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.032,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
0.033,0.38388429752066117,0.38388429752066117,1.0,0.5547924753657808
