Mapped_Functional_Category,n,n_benign,n_pathogenic,mean_score,median_score,roc_auc,average_precision,accuracy_at_0_564,precision_at_0_564,recall_at_0_564,f1_at_0_564
Other,1949,1306,643,0.565176398152899,0.566,0.9162615896484464,0.8505996553191821,0.7865572088250384,0.6164102564102564,0.9346811819595645,0.7428924598269468
Pore,268,84,184,0.858942910447761,0.9711000000000001,0.80761516563147,0.9016963150862629,0.7798507462686567,0.7729257641921398,0.9619565217391305,0.8571428571428571
Inactivation_Gate,98,64,34,0.7676744897959183,0.94685,0.7858455882352942,0.6503337992164706,0.5816326530612245,0.4520547945205479,0.9705882352941176,0.616822429906542
Voltage_Sensor,105,37,68,0.9750238095238097,0.9958,0.7567567567567568,0.8587624493036539,0.638095238095238,0.6442307692307693,0.9852941176470589,0.7790697674418605
