target_gene,feature_set,model,pca_dim,threshold,tuned_balanced_accuracy,default_balanced_accuracy,best_frozen_balanced_accuracy,delta_tuned_vs_default_balanced_accuracy,delta_tuned_vs_frozen_balanced_accuracy,tuned_roc_auc,default_roc_auc,best_frozen_roc_auc,delta_tuned_vs_frozen_roc_auc,tuned_gof_f1,default_gof_f1,best_frozen_gof_f1
SCN10A,wt_mut_site,logistic_regression,128,0.5571326988356162,0.7063492063492063,0.6746031746031746,0.7222222222222222,0.03174603174603163,-0.015873015873015928,0.7301587301587301,0.7301587301587301,0.5873015873015873,0.1428571428571428,0.6666666666666666,0.7368421052631579,0.6153846153846154
SCN1A,wt_mut_site,rbf_svm,16,0.3109689863819203,0.7321428571428572,0.7329931972789117,0.7644557823129252,-0.0008503401360544505,-0.03231292517006801,0.7653061224489796,0.7653061224489796,0.78656462585034,-0.021258503401360485,0.5142857142857142,0.5,0.5238095238095238
SCN2A,wt_mut_site,logistic_regression,128,0.6454899973064183,0.7261904761904762,0.6746031746031746,0.753968253968254,0.051587301587301515,-0.02777777777777779,0.7142857142857143,0.7142857142857143,0.7658730158730158,-0.051587301587301515,0.7272727272727273,0.7368421052631579,0.7647058823529411
SCN3A,wt_mut_site,rbf_svm,128,0.40972174322979105,0.85,0.65,0.85,0.19999999999999996,0.0,0.8,0.8,0.875,-0.07499999999999996,0.8235294117647058,0.8421052631578947,0.8235294117647058
SCN4A,wt_mut_site,rbf_svm,128,0.5305956058089311,0.7841880341880342,0.8397435897435898,0.8782051282051282,-0.05555555555555558,-0.09401709401709402,0.8547008547008547,0.8547008547008547,0.8888888888888888,-0.03418803418803418,0.7878787878787878,0.8571428571428571,0.8823529411764706
SCN5A,wt_mut_site,rbf_svm,16,0.32459905937644273,0.6806623931623932,0.7004273504273504,0.6738247863247864,-0.019764957264957195,0.006837606837606813,0.7517094017094017,0.7517094017094017,0.6738247863247863,0.07788461538461544,0.5227272727272727,0.5436893203883495,0.512396694214876
SCN8A,wt_mut_site,rbf_svm,32,-0.12236624201980856,0.7410714285714286,0.7321428571428572,0.8303571428571428,0.008928571428571397,-0.08928571428571419,0.7857142857142857,0.7857142857142857,0.8035714285714286,-0.017857142857142905,0.8275862068965517,0.7692307692307693,0.8461538461538461
