target_gene,method,feature_set,model_name,pca_dim_requested,pca_dim_actual,C,gamma,threshold,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN10A,trained_esm_pca_classifier_default_threshold,wt_mut_site,logistic_regression,128,128,0.01,none,0.0,16,7,9,0.6875,0.6746031746031746,0.6761133603238867,0.7368421052631579,0.7,0.7777777777777778,0.7301587301587301,0.8513007054673721
SCN1A,trained_esm_pca_classifier_default_threshold,wt_mut_site,rbf_svm,16,16,1.0,scale,0.0,61,49,12,0.6721311475409836,0.7329931972789117,0.6280487804878049,0.5,0.35714285714285715,0.8333333333333334,0.7653061224489796,0.5136975142409925
SCN2A,trained_esm_pca_classifier_default_threshold,wt_mut_site,logistic_regression,128,128,0.01,none,0.0,32,14,18,0.6875,0.6746031746031746,0.6761133603238867,0.7368421052631579,0.7,0.7777777777777778,0.7142857142857143,0.7568619094553496
SCN3A,trained_esm_pca_classifier_default_threshold,wt_mut_site,rbf_svm,128,128,1.0,scale,0.0,12,2,10,0.75,0.65,0.6210526315789473,0.8421052631578947,0.8888888888888888,0.8,0.8,0.9651515151515152
SCN4A,trained_esm_pca_classifier_default_threshold,wt_mut_site,rbf_svm,128,128,1.0,scale,0.0,31,13,18,0.8387096774193549,0.8397435897435898,0.8359788359788359,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.8547008547008547,0.8653128824697451
SCN5A,trained_esm_pca_classifier_default_threshold,wt_mut_site,rbf_svm,16,16,10.0,scale,0.0,157,117,40,0.7006369426751592,0.7004273504273504,0.6604702526112364,0.5436893203883495,0.4444444444444444,0.7,0.7517094017094017,0.4925405150605304
SCN8A,trained_esm_pca_classifier_default_threshold,wt_mut_site,rbf_svm,32,32,0.1,scale,0.0,22,8,14,0.7272727272727273,0.7321428571428572,0.717948717948718,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.7857142857142857,0.8241674000602572
