target_gene,method,feature_set,model_name,pca_dim_requested,pca_dim_actual,C,gamma,threshold,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN10A,trained_esm_pca_classifier_threshold_tuned,wt_mut_site,logistic_regression,128,128,0.01,none,0.5571326988356162,16,7,9,0.6875,0.7063492063492063,0.6862745098039216,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.7301587301587301,0.8513007054673721
SCN1A,trained_esm_pca_classifier_threshold_tuned,wt_mut_site,rbf_svm,16,16,1.0,scale,0.3109689863819203,61,49,12,0.7213114754098361,0.7321428571428572,0.6594417077175698,0.5142857142857142,0.391304347826087,0.75,0.7653061224489796,0.5136975142409925
SCN2A,trained_esm_pca_classifier_threshold_tuned,wt_mut_site,logistic_regression,128,128,0.01,none,0.6454899973064183,32,14,18,0.71875,0.7261904761904762,0.718475073313783,0.7272727272727273,0.8,0.6666666666666666,0.7142857142857143,0.7568619094553496
SCN3A,trained_esm_pca_classifier_threshold_tuned,wt_mut_site,rbf_svm,128,128,1.0,scale,0.40972174322979105,12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.8,0.9651515151515152
SCN4A,trained_esm_pca_classifier_threshold_tuned,wt_mut_site,rbf_svm,128,128,1.0,scale,0.5305956058089311,31,13,18,0.7741935483870968,0.7841880341880342,0.7732497387669801,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.8547008547008547,0.8653128824697451
SCN5A,trained_esm_pca_classifier_threshold_tuned,wt_mut_site,rbf_svm,16,16,10.0,scale,0.32459905937644273,157,117,40,0.732484076433121,0.6806623931623932,0.6684432823813355,0.5227272727272727,0.4791666666666667,0.575,0.7517094017094017,0.4925405150605304
SCN8A,trained_esm_pca_classifier_threshold_tuned,wt_mut_site,rbf_svm,32,32,0.1,scale,-0.12236624201980856,22,8,14,0.7727272727272727,0.7410714285714286,0.7471264367816092,0.8275862068965517,0.8,0.8571428571428571,0.7857142857142857,0.8241674000602572
