outer_target_gene,feature_set,pca_dim,model_name,C,gamma,n_inner_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_tuned_macro_f1,inner_default_accuracy,inner_default_balanced_accuracy,inner_default_roc_auc,inner_default_gof_f1
SCN1A,wt_mut_site,8,linear_svm,1.0,none,6,0.346156010215711,0.7333333333333333,0.7171348794803123,0.7608980568693373,0.6571428571428571,0.7194805194805195,0.6703703703703704,0.6836002051398941,0.7608980568693373,0.6482213438735178
SCN1A,wt_mut_site,8,linear_svm,10.0,none,6,0.3463972768409529,0.7333333333333333,0.7171348794803123,0.7608410735654454,0.6571428571428571,0.7194805194805195,0.6703703703703704,0.6836002051398941,0.7608410735654454,0.6482213438735178
SCN1A,wt_mut_site,128,linear_svm,1.0,none,6,0.9032206457121763,0.7333333333333333,0.7171348794803123,0.7230041597811842,0.6571428571428571,0.7194805194805195,0.6148148148148148,0.6444241837141718,0.7230041597811842,0.6258992805755396
SCN1A,wt_mut_site,128,linear_svm,10.0,none,6,0.9507823504634418,0.7333333333333333,0.7156533135791213,0.7208387942332897,0.6538461538461539,0.7184893419833178,0.6111111111111112,0.64131859365206,0.7208387942332897,0.6236559139784946
SCN1A,wt_mut_site,16,logistic_regression,0.1,none,6,0.6378651543536032,0.7407407407407407,0.7144566641973902,0.7495013960909453,0.6428571428571429,0.7196843853820598,0.6592592592592592,0.6698387372499858,0.7495013960909453,0.632
SCN1A,wt_mut_site,8,linear_svm,0.01,none,6,-0.08507971278284253,0.6925925925925925,0.7140862727220925,0.7643740384067468,0.6844106463878327,0.6923858286090787,0.6703703703703704,0.6836002051398941,0.7643740384067468,0.6482213438735178
SCN1A,wt_mut_site,16,linear_svm,1.0,none,6,0.18765882550215385,0.7111111111111111,0.71183543221836,0.7482477634053222,0.6666666666666666,0.7058823529411764,0.6703703703703704,0.685081771041085,0.7482477634053222,0.6509803921568628
SCN1A,wt_mut_site,32,rbf_svm,10.0,scale,6,0.6146850294351092,0.737037037037037,0.7113510741352784,0.7461393811613197,0.6395939086294417,0.7162984120406684,0.6444444444444445,0.6692689042110662,0.7461393811613197,0.6444444444444445
SCN1A,wt_mut_site,16,logistic_regression,1.0,none,6,0.6494030044109903,0.737037037037037,0.7098695082340875,0.7412388170266112,0.6358974358974359,0.7150501672240803,0.6481481481481481,0.6605219670636504,0.7412388170266112,0.6245059288537549
SCN1A,wt_mut_site,64,rbf_svm,10.0,scale,6,0.609493830381227,0.725925925925926,0.7079605675537067,0.7412388170266112,0.6442307692307693,0.7106696014828545,0.6259259259259259,0.661148783406462,0.7412388170266112,0.6456140350877193
SCN1A,wt_mut_site,64,rbf_svm,1.0,scale,6,0.5497424058941953,0.725925925925926,0.7079605675537067,0.7406120006837997,0.6442307692307693,0.7106696014828545,0.5962962962962963,0.6363040629095675,0.7406120006837997,0.6279863481228669
SCN1A,wt_mut_site,16,linear_svm,10.0,none,6,0.18971800792640164,0.7074074074074074,0.7072482762550573,0.7481907801014303,0.6609442060085837,0.7018076078902853,0.6703703703703704,0.685081771041085,0.7481907801014303,0.6509803921568628
SCN1A,wt_mut_site,32,rbf_svm,1.0,scale,6,0.29099081122893866,0.7,0.7069633597355975,0.7468231808080233,0.6666666666666666,0.696969696969697,0.6222222222222222,0.6535984956407772,0.7468231808080233,0.6357142857142857
SCN1A,wt_mut_site,128,linear_svm,0.01,none,6,0.5137976029583455,0.7111111111111111,0.7059091686135963,0.7311527722377343,0.6548672566371682,0.7032298066625331,0.6370370370370371,0.6675024217904154,0.7311527722377343,0.6474820143884892
