method,k,n_seeds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_gof_f1,std_gof_f1
contrastive_projection_wt_mut,5,10,0.7672131147540984,0.015064534155289855,0.7921768707482993,0.009376903912986541,0.7947278911564626,0.009177722659783496,0.4174800905912809,0.01701172263641427,0.5851710381122146,0.01554378765023698
contrastive_projection_wt_mut,3,10,0.7655737704918033,0.015552185213942846,0.791156462585034,0.009680441816842002,0.7921768707482993,0.009546727634930073,0.41218254996765336,0.015776149464620165,0.583490365843307,0.016075181504316253
contrastive_projection_wt_mut,1,10,0.7540983606557378,0.021857923497267725,0.7840136054421769,0.013605442176870737,0.7840136054421769,0.013605442176870732,0.39620679866581504,0.021122097069728223,0.5721764545293957,0.021821317877961627
frozen_esm_wt_mut,3,10,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0
frozen_esm_wt_mut,1,10,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0
frozen_esm_wt_mut,5,10,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0
