k,n_query,n_candidate,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,seed,method,query_gene,candidate_pool
1,61,287,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,1,frozen_esm_wt_mut,SCN1A,non-SCN1A
3,61,287,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,1,frozen_esm_wt_mut,SCN1A,non-SCN1A
5,61,287,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,1,frozen_esm_wt_mut,SCN1A,non-SCN1A
1,61,287,0.7377049180327869,0.7738095238095238,0.6847545219638242,0.5555555555555556,0.4166666666666667,0.8333333333333334,0.773809523809524,0.3800091074681239,1,contrastive_projection_wt_mut,SCN1A,non-SCN1A
3,61,287,0.7540983606557377,0.7840136054421769,0.6995073891625616,0.5714285714285714,0.43478260869565216,0.8333333333333334,0.7908163265306123,0.4115747640337804,1,contrastive_projection_wt_mut,SCN1A,non-SCN1A
5,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.8078231292517009,0.4494535519125683,1,contrastive_projection_wt_mut,SCN1A,non-SCN1A
1,61,287,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,2,frozen_esm_wt_mut,SCN1A,non-SCN1A
3,61,287,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,2,frozen_esm_wt_mut,SCN1A,non-SCN1A
5,61,287,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,2,frozen_esm_wt_mut,SCN1A,non-SCN1A
1,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.79421768707483,0.4115747640337804,2,contrastive_projection_wt_mut,SCN1A,non-SCN1A
3,61,287,0.7868852459016393,0.804421768707483,0.7299965951651345,0.6060606060606061,0.47619047619047616,0.8333333333333334,0.8027210884353742,0.4296122820712984,2,contrastive_projection_wt_mut,SCN1A,non-SCN1A
5,61,287,0.7868852459016393,0.804421768707483,0.7299965951651345,0.6060606060606061,0.47619047619047616,0.8333333333333334,0.8027210884353742,0.4296122820712984,2,contrastive_projection_wt_mut,SCN1A,non-SCN1A
1,61,287,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,3,frozen_esm_wt_mut,SCN1A,non-SCN1A
3,61,287,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,3,frozen_esm_wt_mut,SCN1A,non-SCN1A
5,61,287,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,3,frozen_esm_wt_mut,SCN1A,non-SCN1A
1,61,287,0.7213114754098361,0.7636054421768708,0.6702702702702703,0.5405405405405406,0.4,0.8333333333333334,0.7636054421768708,0.366120218579235,3,contrastive_projection_wt_mut,SCN1A,non-SCN1A
3,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.7891156462585034,0.4115747640337804,3,contrastive_projection_wt_mut,SCN1A,non-SCN1A
5,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.7891156462585034,0.4115747640337804,3,contrastive_projection_wt_mut,SCN1A,non-SCN1A
