method,heldout_gene,feature_set,k,n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,tn,fp,fn,tp
contrastive_lora_esm_knn,SCN1A,mutant_site,1,61,49,12,0.7049180327868853,0.7534013605442177,0.6560150375939849,0.5263157894736842,0.38461538461538464,0.8333333333333334,0.7534013605442178,0.35329970575872216,33,16,2,10
contrastive_lora_esm_knn,SCN1A,wt_mut_site,1,61,49,12,0.7049180327868853,0.7534013605442177,0.6560150375939849,0.5263157894736842,0.38461538461538464,0.8333333333333334,0.7534013605442178,0.35329970575872216,33,16,2,10
contrastive_lora_esm_knn,SCN1A,wt_mut_site,5,61,49,12,0.639344262295082,0.6811224489795918,0.5908536585365853,0.45,0.32142857142857145,0.75,0.7372448979591836,0.3432544081934326,30,19,3,9
contrastive_lora_esm_knn,SCN1A,wt_mut_site,3,61,49,12,0.6721311475409836,0.7015306122448979,0.6177944862155388,0.47368421052631576,0.34615384615384615,0.75,0.7304421768707483,0.3436726449021531,32,17,3,9
contrastive_lora_esm_knn,SCN1A,mutant_site,3,61,49,12,0.6885245901639344,0.7431972789115646,0.6419524250849552,0.5128205128205128,0.37037037037037035,0.8333333333333334,0.7261904761904762,0.32546055982960287,32,17,2,10
contrastive_lora_esm_knn,SCN1A,mutant_site,5,61,49,12,0.6557377049180327,0.7227891156462585,0.6142728093947606,0.4878048780487805,0.3448275862068966,0.8333333333333334,0.7151360544217686,0.3406308431534548,30,19,2,10
contrastive_lora_esm_knn,SCN1A,wt_site,1,61,49,12,0.6885245901639344,0.7117346938775511,0.6314785373608903,0.4864864864864865,0.36,0.75,0.7117346938775512,0.3191803278688525,33,16,3,9
contrastive_lora_esm_knn,SCN1A,wt_site,3,61,49,12,0.6721311475409836,0.6700680272108843,0.6059431524547804,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6887755102040817,0.3271021307239378,33,16,4,8
contrastive_lora_esm_knn,SCN1A,wt_site,5,61,49,12,0.5737704918032787,0.5773809523809523,0.5164634146341464,0.35,0.25,0.5833333333333334,0.6811224489795918,0.31811445508435937,28,21,5,7
contrastive_lora_esm_knn,SCN1A,delta_site,5,61,49,12,0.5901639344262295,0.6190476190476191,0.5408009635651911,0.3902439024390244,0.27586206896551724,0.6666666666666666,0.6445578231292517,0.2948909590304757,28,21,4,8
contrastive_lora_esm_knn,SCN1A,delta_site,3,61,49,12,0.5409836065573771,0.5255102040816326,0.4792682926829268,0.3,0.21428571428571427,0.5,0.6045918367346939,0.27462545883369044,27,22,6,6
contrastive_lora_esm_knn,SCN1A,delta_site,1,61,49,12,0.5573770491803278,0.5671768707482994,0.5040650406504065,0.34146341463414637,0.2413793103448276,0.5833333333333334,0.5671768707482994,0.22277181081590353,27,22,5,7
