region,term.id,term,pval,OR_adj,OR_adj_lo,OR_adj_hi
Domain I,FENICS:0027,Hyperpolarizing shift of voltage dependence of activation,0.8244,1.07,0.38,2.75
Domain III,FENICS:0020,Effect on voltage dependence of activation,0.8329,1.18,0.47,2.91
Domain I,FENICS:0004,Component leading to Loss-of-Function (LoF),0.8333,1.17,0.47,3.1
Domain C,FENICS:0020,Effect on voltage dependence of activation,0.8415,1.11,0.46,2.62
Domain IV,FENICS:0141,Overall loss-of-function,0.869,1.08,0.53,2.14
Domain IV,FENICS:0021,Effect on shift of voltage dependence of activation,0.8726,1.09,0.55,2.13
Domain I,FENICS:0136,Overall assessment of ion channel function,1,1.51,0.2,68.22
Domain IV,FENICS:0145,Overall mixed or unclear functional effect not able to be clearly categorized as Gain- or Loss-of-Function,1,1.03,0.47,2.18
Domain II-III,FENICS:0136,Overall assessment of ion channel function,1,1.11,0,Inf
Domain I,FENICS:0115,Effect on shift of voltage dependence of slow inactivation,1,1.12,0.02,9.82
Domain III-IV,FENICS:0045,Effect on rate of fast inactivation,1,1.08,0.25,3.74
Domain IV,FENICS:0120,Decrease in slope of slow inactivation,1,1.47,0.02,28.75
Domain II-III,FENICS:0035,Increase in slope of activation,1,1.17,0.03,9.51
Segment 5-6,FENICS:0083,Absence of peak current,1e-4,10.69,2.84,44.89
Segment 1,FENICS:0021,Effect on shift of voltage dependence of activation,0.0011,26.18,0,Inf
Segment 5-6,FENICS:0141,Overall loss-of-function,0.0012,7.5,1.85,43.9
Segment 4,FENICS:0071,Effect on slope of fast inactivation,0.0016,3.97,1.56,9.85
Segment 1,FENICS:0027,Hyperpolarizing shift of voltage dependence of activation,0.0019,17.41,2.04,813.71
Segment 1,FENICS:0020,Effect on voltage dependence of activation,0.0022,21.84,0,Inf
Segment 5-6,FENICS:0082,Effect on peak current,0.0032,7.57,1.59,71.9
Segment 5,FENICS:0116,Depolarizing shift of voltage dependence of slow inactivation,0.004,27.82,2.12,1503.06
Segment 4,FENICS:0073,Increase in slope of fast inactivation,0.0058,3.81,1.34,10.37
Segment 4,FENICS:0027,Hyperpolarizing shift of voltage dependence of activation,0.01,2.79,1.19,6.5
Segment 2,FENICS:0133,Decrease of decay in current amplitude in use dependence,0.0111,24.18,1.57,372.4
Segment 4,FENICS:0012,Slowing of activation,0.0214,30.25,0,Inf
Segment 4,FENICS:0065,Hyperpolarizing shift of voltage dependence of fast inactivation,0.022,2.9,1.13,7.15
Segment 4,FENICS:0134,Increase of decay in current amplitude in use dependence,0.0242,9.25,1.01,115.22
Segment 5,FENICS:0115,Effect on shift of voltage dependence of slow inactivation,0.028,6.97,0.95,44.53
Segment 2,FENICS:0132,Effect on use dependence,0.0284,13.71,0.93,202.17
Segment 1,FENICS:0034,Decrease in slope of activation,0.0292,11.19,0.92,85.54
Segment 4,FENICS:0021,Effect on shift of voltage dependence of activation,0.0305,2.34,1.03,5.46
Segment 2,FENICS:0045,Effect on rate of fast inactivation,0.0352,10.97,0.86,585.68
Segment 6,FENICS:0083,Absence of peak current,0.0439,3.01,0.86,9.57
Segment 4,FENICS:0020,Effect on voltage dependence of activation,0.0518,2.21,0.97,5.2
Segment 4,FENICS:0117,Hyperpolarizing shift of voltage dependence of slow inactivation,0.0581,11.96,0.61,719.73
Segment 5,FENICS:0083,Absence of peak current,0.063,2.67,0.85,7.69
Segment 5,FENICS:0004,Component leading to Loss-of-Function (LoF),0.0668,2.81,0.89,11.83
Segment 2,FENICS:0127,Effect on ion channel function involving multiple biophysical properties,0.0668,8.07,0.56,116.3
Segment 2,FENICS:0052,Effect on rate of recovery from fast inactivation,0.0756,7.52,0.59,400.57
Segment 6,FENICS:0082,Effect on peak current,0.0804,2.7,0.89,9.14
Segment 4,FENICS:0140,Overall gain-of-function effect with respect to biophysical channel activity,0.0884,2.15,0.83,5.3
Segment 2,FENICS:0103,Acceleration of entry into slow inactivation,0.09,16.49,0.26,272.26
Segment 4,FENICS:0097,Effect on resurgent current,0.0983,3.67,0.54,20.06
Segment 2,FENICS:0101,Effect on slow inactivation,0.0995,6.22,0.44,89.14
