region,term.id,term,pval,OR_adj,OR_adj_lo,OR_adj_hi
Segment 4,FENICS:0039,Decrease in persistent current,0.476,1.94,0.04,25.06
Segment 5,FENICS:0123,Effect on subthreshold current,0.4954,1.7,0.03,16.27
Segment 5-6,FENICS:0046,Acceleration of fast inactivation,0.5033,1.6,0.03,13.14
Segment 6,FENICS:0107,Acceleration of recovery from slow inactivation,0.5075,1.6,0.03,13.73
Segment 2,FENICS:0071,Effect on slope of fast inactivation,0.5205,1.68,0.03,21.64
Segment 6,FENICS:0034,Decrease in slope of activation,0.5501,1.39,0.03,11.52
Segment 2,FENICS:0065,Hyperpolarizing shift of voltage dependence of fast inactivation,0.5519,1.52,0.03,19.56
Segment 6,FENICS:0060,Depolarizing shift of voltage dependence of fast inactivation,0.5522,1.43,0.38,4.57
Segment 1,FENICS:0022,Depolarizing shift of voltage dependence of activation,0.5669,1.35,0.03,11.88
Segment 1,FENICS:0127,Effect on ion channel function involving multiple biophysical properties,0.5827,1.28,0.03,11.3
Segment 6,FENICS:0072,Decrease in slope of fast inactivation,0.5892,1.23,0.03,9.9
Segment 5,FENICS:0045,Effect on rate of fast inactivation,0.6035,1.27,0.38,3.64
Segment 6,FENICS:0007,Effect on ion channel biophysical properties,0.605,2.48,0,Inf
Segment 6,FENICS:0136,Overall assessment of ion channel function,0.6052,2.27,0,Inf
Segment 4,FENICS:0001,Effect on ion channel function,0.6081,3.13,0,Inf
Segment 1,FENICS:0065,Hyperpolarizing shift of voltage dependence of fast inactivation,0.6125,1.85,0.17,11.86
Segment 6,FENICS:0021,Effect on shift of voltage dependence of activation,0.6184,1.31,0.43,3.87
Segment 6,FENICS:0020,Effect on voltage dependence of activation,0.6201,1.38,0.46,4.12
Segment 1,FENICS:0140,Overall gain-of-function effect with respect to biophysical channel activity,0.6239,1.69,0.16,10.76
Segment 4,FENICS:0128,Effect on ramp current,0.6249,1.68,0.16,9.41
Segment 6,FENICS:0132,Effect on use dependence,0.6291,1.64,0.17,8.2
Segment 2,FENICS:0021,Effect on shift of voltage dependence of activation,0.6393,1.61,0.11,22.67
Segment 4,FENICS:0084,Decrease in peak current,0.6617,1.21,0.46,2.96
Segment 4,FENICS:0046,Acceleration of fast inactivation,0.6688,1.29,0.13,6.71
Segment 4,FENICS:0004,Component leading to Loss-of-Function (LoF),0.6914,1.23,0.52,3.09
Segment 1,FENICS:0137,Overall gain-of-function,0.7083,1.31,0.19,7.97
Segment 6,FENICS:0144,Overall loss-of-function effect with respect to biophysical channel activity,0.7111,1.38,0.24,5.4
Segment 4,FENICS:0132,Effect on use dependence,0.7123,1.36,0.23,5.39
Segment 5,FENICS:0127,Effect on ion channel function involving multiple biophysical properties,0.7356,1.17,0.21,4.43
Segment 6,FENICS:0055,Slowing of recovery from fast inactivation,0.7427,1.12,0.2,4.31
Segment 5,FENICS:0073,Increase in slope of fast inactivation,0.745,1.11,0.2,4.19
Segment 6,FENICS:0065,Hyperpolarizing shift of voltage dependence of fast inactivation,0.7479,1.33,0.3,4.58
Segment 5,FENICS:0101,Effect on slow inactivation,0.7518,1.29,0.3,4.32
Segment 6,FENICS:0148,Overall mixed or unclear functional effect with respect to biophysical channel activity,0.7576,1.2,0.27,4.12
Segment 4,FENICS:0053,Acceleration of recovery from fast inactivation,0.7824,1.18,0.32,3.51
Segment 5,FENICS:0038,Effect on persistent current,0.8117,1.1,0.36,3.01
Segment 5,FENICS:0137,Overall gain-of-function,0.821,1.13,0.41,2.97
Segment 5-6,FENICS:0132,Effect on use dependence,1,1.04,0.02,8.03
Segment 6,FENICS:0046,Acceleration of fast inactivation,1,1.11,0.02,8.67
Segment 5,FENICS:0034,Decrease in slope of activation,1,1.05,0.02,8.49
