Mapped_Functional_Category,n,n_benign,n_pathogenic,mean_zero_shot_score,median_zero_shot_score,roc_auc,average_precision
Voltage_Sensor,105,37,68,3.1386044294351625,3.096888780593872,0.7003179650238475,0.8295303839064212
Pore,268,84,184,1.655673295926692,0.9080336689949036,0.6941640786749482,0.849853836543693
Inactivation_Gate,98,64,34,0.36942907498807326,0.22038424015045166,0.6525735294117647,0.49085458978835217
Other,1951,1306,645,0.6418721683901939,0.3423738479614258,0.6145541745313816,0.5261189358241591
