threshold,accuracy,precision,recall,f1
-4.276072829961777,0.38439306358381503,0.38439306358381503,1.0,0.5553235908141962
-3.2002810854911803,0.38480594549958713,0.3844563869367507,0.9989258861439313,0.5552238805970149
-2.71144492650032,0.3856317093311313,0.3847745138601572,0.9989258861439313,0.5555555555555556
-2.609922236561775,0.3860445912469034,0.3848384424192212,0.9978517722878625,0.555455904334828
-2.544244279384613,0.3860445912469034,0.38474295190713104,0.9967776584317938,0.5551899491474723
-2.4558921772241593,0.3864574731626755,0.3848069738480697,0.9957035445757251,0.5550898203592814
-2.3227908325195314,0.3864574731626755,0.3847112588284171,0.9946294307196563,0.554823247453565
-2.189971643090248,0.3864574731626755,0.38461538461538464,0.9935553168635876,0.5545563549160671
-2.0710160913467406,0.3868703550784476,0.38467943380516234,0.9924812030075187,0.5544554455445545
-2.01099808716774,0.3868703550784476,0.38458333333333333,0.99140708915145,0.5541879315520865
-1.9633509457111358,0.38810900082576383,0.38506466416353774,0.99140708915145,0.5546875
-1.9031039032936097,0.38810900082576383,0.38496868475991647,0.9903329752953813,0.5544197233914612
-1.8402618894577027,0.3876961189099917,0.38461538461538464,0.9881847475832438,0.5537165212157689
-1.8191121037006377,0.38852188274153593,0.38493723849372385,0.9881847475832438,0.5540499849442939
-1.7866749391555785,0.3876961189099917,0.3844221105527638,0.9860365198711063,0.5531786682735764
-1.759578037261963,0.38893476465730803,0.3849056603773585,0.9860365198711063,0.5536791314837153
-1.7315636978149413,0.3897605284888522,0.38522870331514897,0.9860365198711063,0.5540132770066385
-1.699644340991974,0.3901734104046243,0.38529411764705884,0.9849624060150376,0.5539112050739958
-1.6797229468822479,0.3901734104046243,0.38519764507989906,0.9838882921589689,0.5536415835599879
-1.6461184875965118,0.3909991742361685,0.38552188552188554,0.9838882921589689,0.553976413667977
-1.626252634525299,0.3914120561519405,0.38558786346396967,0.9828141783029001,0.5538740920096852
-1.5996544550657272,0.3922378199834847,0.38591311682834245,0.9828141783029001,0.5542095699576014
-1.569922303199768,0.3918249380677126,0.38555743243243246,0.9806659505907627,0.5535010609275538
-1.5229469041824342,0.3918249380677126,0.38546069315300086,0.9795918367346939,0.5532302092811647
-1.499526849746704,0.3930635838150289,0.38595006347862887,0.9795918367346939,0.5537340619307832
-1.4883820474147795,0.3930635838150289,0.38585345192714954,0.9785177228786252,0.5534629404617254
-1.4626004042625427,0.3930635838150289,0.3857566765578635,0.9774436090225563,0.5531914893617021
-1.4351295493841172,0.3926507018992568,0.3853989813242784,0.9752953813104189,0.5524794645573471
-1.4191898593902588,0.3926507018992568,0.3853016142735769,0.9742212674543501,0.55220700152207
-1.4100070753097533,0.3922378199834847,0.3849425776265419,0.9720730397422127,0.5514929920780012
-1.3962363851070405,0.3922378199834847,0.3848446147296722,0.9709989258861439,0.551219512195122
-1.386981126308441,0.3918249380677126,0.38448422847399827,0.9688506981740065,0.5505035093072933
-1.355836305618286,0.3918249380677126,0.3843856655290102,0.9677765843179377,0.5502290076335878
-1.3256583187580109,0.3918249380677126,0.3842869342442357,0.966702470461869,0.5499541704857929
-1.3200411765575408,0.3922378199834847,0.38435228730226595,0.9656283566058003,0.5498470948012233
-1.311875078678131,0.3930635838150289,0.384681215233205,0.9656283566058003,0.5501835985312118
-1.3007326211929322,0.393476465730801,0.3847472150814053,0.9645542427497314,0.5500765696784073
-1.2916787900924682,0.393476465730801,0.3846483704974271,0.9634801288936627,0.549800796812749
-1.2602179141044616,0.3943022295623452,0.3849785407725322,0.9634801288936627,0.5501379944802208
-1.2359682347774505,0.3938893476465731,0.38461538461538464,0.9613319011815252,0.5494168201350522
-1.2225040626525878,0.3947151114781173,0.3849462365591398,0.9613319011815252,0.5497542997542998
-1.218536512374878,0.3959537572254335,0.3854435831180017,0.9613319011815252,0.5502612972640639
-1.2072525796890259,0.3959537572254335,0.3853448275862069,0.9602577873254565,0.5499846201168871
-1.2028575743436813,0.39719240297274977,0.385843763487268,0.9602577873254565,0.5504926108374384
-1.1999648175239563,0.39719240297274977,0.3857451403887689,0.9591836734693877,0.5502156500308072
-1.197971002459526,0.39801816680429397,0.38607868568958065,0.9591836734693877,0.5505548705302096
-1.1922975203990935,0.39843104872006607,0.38614718614718613,0.958109559613319,0.5504473927800062
-1.1848026766777038,0.3992568125516102,0.38648180242634317,0.958109559613319,0.550787280024699
-1.1746077375411987,0.3996696944673823,0.3865509761388286,0.9570354457572503,0.5506798516687268
-1.1648294618129729,0.4004954582989265,0.3868866695614416,0.9570354457572503,0.5510204081632653
-1.1513198256492614,0.4009083402146986,0.3869565217391304,0.9559613319011815,0.5509130300216651
-1.1485685873031617,0.4000825763831544,0.38642297650130547,0.9538131041890441,0.5500154846701766
-1.136947883605957,0.3992568125516102,0.3858885017421603,0.9516648764769066,0.5491168267740936
-1.1146389083862305,0.3996696944673823,0.38595726122982993,0.9505907626208379,0.5490074441687345
-1.1048022236824036,0.4004954582989265,0.3862941946748145,0.9505907626208379,0.5493482309124768
-1.0930602598190307,0.4000825763831544,0.38592657342657344,0.9484425349087003,0.5486175831003417
-1.0871803016662598,0.4000825763831544,0.3858267716535433,0.9473684210526315,0.5483369599005284
-1.0847847208976746,0.4009083402146986,0.3861646234676007,0.9473684210526315,0.5486780715396579
-1.0743840050697326,0.40214698596201487,0.38667251205611575,0.9473684210526315,0.5491905354919053
-1.0679737355709076,0.40214698596201487,0.38657305835892936,0.9462943071965628,0.5489096573208723
-1.055673861503601,0.4009083402146986,0.38576449912126537,0.9430719656283566,0.5475522294979732
-1.046469864368439,0.40173410404624277,0.386103781882146,0.9430719656283566,0.5478939157566303
-1.0388179783821105,0.40214698596201487,0.3861734918538089,0.9419978517722879,0.5477826358525921
-1.0362799482345582,0.40214698596201487,0.3860731599823711,0.9409237379162191,0.5475
-1.0305909843444825,0.40214698596201487,0.38597265108072343,0.9398496240601504,0.5472170106316447
-1.0238891577720641,0.40173410404624277,0.38560070671378094,0.9377013963480129,0.5464788732394367
-1.0110355994701385,0.40255986787778697,0.3859416445623342,0.9377013963480129,0.5468211713122455
-0.9943439817428587,0.4037985136251032,0.38645418326693226,0.9377013963480129,0.5473354231974922
-0.9780906791687012,0.4046242774566474,0.386796632698272,0.9377013963480129,0.5476787954830615
-0.9678563849925994,0.40503715937241946,0.38686779059449866,0.9366272824919442,0.5475667189952904
-0.9606007885932921,0.40586292320396367,0.3872113676731794,0.9366272824919442,0.5479107759974866
-0.9528462843894958,0.40586292320396367,0.38711111111111113,0.9355531686358755,0.547626532536938
-0.9446526412963867,0.4046242774566474,0.3862928348909657,0.9323308270676691,0.5462555066079295
-0.9408500812053681,0.40545004128819156,0.3866369710467706,0.9323308270676691,0.5465994962216625
-0.9308440856933594,0.40503715937241946,0.3862622658340767,0.9301825993555317,0.5458556571068389
-0.9206102848052978,0.40503715937241946,0.3861607142857143,0.9291084854994629,0.5455692210659098
-0.9191617288589478,0.40586292320396367,0.3865058087578195,0.9291084854994629,0.5459135373934996
-0.8949531469345092,0.4071015689512799,0.3870246085011186,0.9291084854994629,0.5464308275426406
-0.8805563836097717,0.4079273327828241,0.38737124944021495,0.9291084854994629,0.5467762326169405
-0.8759832184314728,0.407514450867052,0.38699551569506724,0.9269602577873255,0.5460297374248656
-0.8557463550567627,0.4083402146985962,0.387342908438061,0.9269602577873255,0.5463754352643242
-0.8467047861814498,0.40957886044591246,0.38786516853932584,0.9269602577873255,0.5468948035487959
-0.8400292592048645,0.41040462427745666,0.3882141250562303,0.9269602577873255,0.5472415979708307
-0.8344939947128296,0.41040462427745666,0.3881134624043224,0.9258861439312567,0.5469543147208121
-0.8317736291885376,0.4108175061932287,0.38818755635707847,0.924812030075188,0.5468402667513497
-0.8277956748008728,0.4108175061932287,0.388086642599278,0.9237379162191193,0.5465522720050842
-0.8196603012084961,0.4112303881090008,0.38816086760054225,0.9226638023630505,0.5464376590330788
-0.8168921520709991,0.412056151940545,0.3885119855269109,0.9226638023630505,0.5467854869509866
-0.8139477996826172,0.4124690338563171,0.38858695652173914,0.9215896885069818,0.5466709143039185
-0.8085117585659027,0.41329479768786126,0.3889392565729828,0.9215896885069818,0.5470194453299331
-0.803176600933075,0.41329479768786126,0.38883847549909256,0.920515574650913,0.5467304625199362
-0.8003946199417115,0.41453344343517756,0.3893684688777828,0.920515574650913,0.5472541507024266
-0.7943406734466553,0.4153592072667217,0.38972260118235563,0.920515574650913,0.5476038338658147
-0.7902003519535065,0.4157720891824938,0.38979963570127507,0.9194414607948442,0.5474896066517428
-0.789513162612915,0.4157720891824938,0.38969917958067457,0.9183673469387755,0.5472
-0.772261323928833,0.4157720891824938,0.3895985401459854,0.9172932330827067,0.5469100224143452
-0.7581444873809814,0.41701073492981006,0.39013248058474187,0.9172932330827067,0.5474358974358975
-0.7495035153627395,0.41783649876135426,0.3904892546867855,0.9172932330827067,0.5477870429762668
-0.7457698128223419,0.41742361684558216,0.3901098901098901,0.9151450053705693,0.5470304975922954
-0.7408880634307862,0.41742361684558216,0.3900091659028414,0.9140708915145005,0.5467394796016705
