Mapped_Functional_Category,n,n_benign,n_pathogenic,mean_zero_shot_score,median_zero_shot_score,roc_auc,average_precision
Other,1951,1306,645,2.4599401371784597,1.2735481262207031,0.8724242316321807,0.829587170812641
Pore,268,84,184,5.090767450309654,4.983974205330014,0.8240812629399586,0.9053480277829361
Inactivation_Gate,98,64,34,2.434805502753933,2.0377106070518494,0.7996323529411764,0.691140908978916
Voltage_Sensor,105,37,68,8.0332016328577,8.610533058643341,0.7189984101748808,0.8043624682370427
