Channel_Repeat,n,conflicting_count,conflicting_fraction,mean_pathogenic_probability,median_pathogenic_probability,mean_uncertainty,median_uncertainty,mean_ensemble_disagreement,median_ensemble_disagreement,mean_neighbor_pathogenic_fraction,median_neighbor_pathogenic_fraction,mean_domain_blind_ambiguity,mean_pure_model_ambiguity
DII,3,0,0.0,0.6099312866666666,0.5081239,0.3900687333333333,0.49187613,0.16288813666666666,0.16223498,0.5,0.5,0.6378881627565457,0.6750789538508329
DIV,5,2,0.4,0.631882848,0.59572834,0.32810682,0.39997417,0.138374376,0.1333137,0.49000000000000005,0.5,0.5547163829074894,0.5676920193152489
DI,48,13,0.2708333333333333,0.639100249375,0.642286335,0.30225912879166666,0.319506015,0.10728500672916667,0.101106448,0.59375,0.6,0.5277637007739306,0.4953516010319075
DIII,6,1,0.16666666666666666,0.7926268850000001,0.7967137,0.20737311216666665,0.20328628999999998,0.09104429933333334,0.093806005,0.6749999999999999,0.65,0.4468978732979883,0.35902172580082653
Unknown,464,76,0.16379310344827586,0.30017411725474136,0.203085615,0.18360539650172414,0.160079445,0.0970616791299569,0.09848193699999999,0.26045258620689654,0.2,0.3221808118470086,0.3381875434427144
