score_col,top_k,mechanism,top_count,background_count,expected_count_by_background,top_fraction,background_fraction,fold_enrichment,fisher_odds_ratio,fisher_p_value
Domain_Blind_Ambiguity_Score,10,Dynamic_Gating_Related,0,26,0.49429657794676807,0.0,0.049429657794676805,0.0,0.0,1.0
Domain_Blind_Ambiguity_Score,10,Ion_Conduction_Pore,2,44,0.8365019011406843,0.2,0.08365019011406843,2.390909090909091,2.8214285714285716,0.2005568813999488
Domain_Blind_Ambiguity_Score,10,Other_Context,8,456,8.669201520912548,0.8,0.8669201520912547,0.9228070175438597,0.6071428571428571,0.8639062541106288
Domain_Blind_Ambiguity_Score,25,Dynamic_Gating_Related,2,26,1.2357414448669202,0.08,0.049429657794676805,1.6184615384615386,1.7282608695652173,0.35400065062667974
Domain_Blind_Ambiguity_Score,25,Ion_Conduction_Pore,5,44,2.091254752851711,0.2,0.08365019011406843,2.390909090909091,2.9615384615384617,0.04864767501613921
Domain_Blind_Ambiguity_Score,25,Other_Context,18,456,21.673003802281368,0.72,0.8669201520912547,0.8305263157894737,0.3698630136986301,0.9890536632837362
Domain_Blind_Ambiguity_Score,50,Dynamic_Gating_Related,5,26,2.4714828897338403,0.1,0.049429657794676805,2.0230769230769234,2.4074074074074074,0.08954057910408408
Domain_Blind_Ambiguity_Score,50,Ion_Conduction_Pore,9,44,4.182509505703422,0.18,0.08365019011406843,2.151818181818182,2.765853658536585,0.01615741428457612
Domain_Blind_Ambiguity_Score,50,Other_Context,36,456,43.346007604562736,0.72,0.8669201520912547,0.8305263157894737,0.34285714285714286,0.9991204834978836
Domain_Blind_Ambiguity_Score,100,Dynamic_Gating_Related,13,26,4.942965779467681,0.13,0.049429657794676805,2.6300000000000003,4.747126436781609,0.00024168090295501236
Domain_Blind_Ambiguity_Score,100,Ion_Conduction_Pore,16,44,8.365019011406844,0.16,0.08365019011406843,1.9127272727272728,2.707482993197279,0.003578475865335639
Domain_Blind_Ambiguity_Score,100,Other_Context,71,456,86.69201520912547,0.71,0.8669201520912547,0.8189912280701754,0.2607254814151366,0.9999994728316143
