Mechanistic_Subregion,n,conflicting_count,conflicting_fraction,mean_pathogenic_probability,median_pathogenic_probability,mean_uncertainty,median_uncertainty,mean_ensemble_disagreement,median_ensemble_disagreement,mean_neighbor_pathogenic_fraction,median_neighbor_pathogenic_fraction,mean_domain_blind_ambiguity,mean_pure_model_ambiguity
S4_Voltage_Sensing_Helix,18,3,0.16666666666666666,0.5927793894444444,0.58546233,0.3646557366666667,0.40771678,0.11033992805555555,0.11342831,0.5972222222222222,0.6,0.5883651648082292,0.5749352294908943
Ion_Conduction_Pore_Region,44,13,0.29545454545454547,0.6761761902272727,0.6971272749999999,0.27271849761363637,0.266274685,0.11114462963636364,0.101793898,0.5852272727272727,0.6,0.5025163252998991,0.46467886435520833
Fast_Inactivation_Gate,8,0,0.0,0.249993329875,0.221873615,0.205504029875,0.221873615,0.11126784325,0.12080397000000001,0.18125,0.25,0.33529044787328105,0.3834574392696379
Other,456,76,0.16666666666666666,0.301054481945614,0.20082935,0.1832212099513158,0.15913087,0.09681244818048246,0.098363775,0.26184210526315793,0.2,0.3219508182325126,0.33739333474399646
