Mechanism_Class,n,conflicting_count,conflicting_fraction,mean_pathogenic_probability,median_pathogenic_probability,mean_uncertainty,median_uncertainty,mean_ensemble_disagreement,median_ensemble_disagreement,mean_neighbor_pathogenic_fraction,median_neighbor_pathogenic_fraction,mean_domain_blind_ambiguity,mean_pure_model_ambiguity
Dynamic_Gating_Related,26,3,0.11538461538461539,0.4873067557307692,0.52304133,0.3156859807307692,0.353177515,0.11062544042307693,0.118156325,0.46923076923076923,0.5,0.5104960211359375,0.5160189863458923
Ion_Conduction_Pore,44,13,0.29545454545454547,0.6761761902272727,0.6971272749999999,0.27271849761363637,0.266274685,0.11114462963636364,0.101793898,0.5852272727272727,0.6,0.5025163252998991,0.46467886435520833
Other_Context,456,76,0.16666666666666666,0.301054481945614,0.20082935,0.1832212099513158,0.15913087,0.09681244818048246,0.098363775,0.26184210526315793,0.2,0.3219508182325126,0.33739333474399646
