score_col,top_k,mechanism,top_count,background_count,expected_count_by_background,top_fraction,background_fraction,fold_enrichment,fisher_odds_ratio,fisher_p_value
Pure_Model_Ambiguity_Score,10,Dynamic_Gating_Related,1,26,0.49429657794676807,0.1,0.049429657794676805,2.0230769230769234,2.1822222222222223,0.4003658398154556
Pure_Model_Ambiguity_Score,10,Ion_Conduction_Pore,1,44,0.8365019011406843,0.1,0.08365019011406843,1.1954545454545455,1.2222222222222223,0.5858306734963586
Pure_Model_Ambiguity_Score,10,Other_Context,8,456,8.669201520912548,0.8,0.8669201520912547,0.9228070175438597,0.6071428571428571,0.8639062541106288
Pure_Model_Ambiguity_Score,25,Dynamic_Gating_Related,2,26,1.2357414448669202,0.08,0.049429657794676805,1.6184615384615386,1.7282608695652173,0.35400065062667974
Pure_Model_Ambiguity_Score,25,Ion_Conduction_Pore,4,44,2.091254752851711,0.16,0.08365019011406843,1.9127272727272728,2.1952380952380954,0.1472908071709538
Pure_Model_Ambiguity_Score,25,Other_Context,19,456,21.673003802281368,0.76,0.8669201520912547,0.8766666666666667,0.463768115942029,0.9637150860654607
Pure_Model_Ambiguity_Score,50,Dynamic_Gating_Related,2,26,2.4714828897338403,0.04,0.049429657794676805,0.8092307692307693,0.7847222222222222,0.729556107666649
Pure_Model_Ambiguity_Score,50,Ion_Conduction_Pore,8,44,4.182509505703422,0.16,0.08365019011406843,1.9127272727272728,2.328042328042328,0.04555467606602848
Pure_Model_Ambiguity_Score,50,Other_Context,40,456,43.346007604562736,0.8,0.8669201520912547,0.9228070175438597,0.5769230769230769,0.9477691975505242
Pure_Model_Ambiguity_Score,100,Dynamic_Gating_Related,9,26,4.942965779467681,0.09,0.049429657794676805,1.8207692307692307,2.3794440853264383,0.040525780213818544
Pure_Model_Ambiguity_Score,100,Ion_Conduction_Pore,13,44,8.365019011406844,0.13,0.08365019011406843,1.5540909090909092,1.903967371153133,0.05338596489518967
Pure_Model_Ambiguity_Score,100,Other_Context,78,456,86.69201520912547,0.78,0.8669201520912547,0.8997368421052632,0.45021645021645024,0.9978816209946006
