seed,model,feature_set,input_dim,best_validation_threshold,test_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,test_accuracy_optimized,test_precision_optimized,test_recall_optimized,test_f1_optimized,best_epoch,best_validation_auc
0,logistic_regression,mutant_site_baseline,320,0.20999999999999996,0.8497035647279549,0.7811320754716982,0.6926406926406926,0.7804878048780488,0.7339449541284404,0.7415094339622641,0.6125827814569537,0.9024390243902439,0.7297830374753451,,
0,custom_nn,nn_mutant_site_only,320,0.5299999999999999,0.8575384615384616,0.7886792452830189,0.7104072398190046,0.7658536585365854,0.7370892018779343,0.7886792452830189,0.7162790697674418,0.751219512195122,0.7333333333333333,7.0,0.8569418386491557
0,custom_nn,nn_wildtype_site_only,320,0.4699999999999999,0.8609230769230768,0.7905660377358491,0.719626168224299,0.751219512195122,0.7350835322195705,0.7830188679245284,0.6973684210526315,0.775609756097561,0.7344110854503464,2.0,0.8526852720450281
0,custom_nn,nn_delta_site_only,320,0.32999999999999996,0.799467166979362,0.7490566037735849,0.6978021978021978,0.6195121951219512,0.6563307493540051,0.6867924528301886,0.5693950177935944,0.7804878048780488,0.6584362139917695,9.0,0.7847326454033773
0,custom_nn,nn_abs_delta_site_only,320,0.185,0.760562851782364,0.7188679245283018,0.6359223300970874,0.6390243902439025,0.6374695863746959,0.6792452830188679,0.5614035087719298,0.7804878048780488,0.6530612244897959,11.0,0.7457082551594746
0,custom_nn,nn_wt_plus_mut_site,640,0.31499999999999995,0.8738986866791745,0.8132075471698114,0.75,0.775609756097561,0.762589928057554,0.8132075471698114,0.7226890756302521,0.8390243902439024,0.7765237020316027,13.0,0.8638367729831145
0,custom_nn,nn_mut_plus_delta_site,640,0.4549999999999999,0.8702664165103189,0.7905660377358491,0.706140350877193,0.7853658536585366,0.74364896073903,0.7886792452830189,0.689795918367347,0.824390243902439,0.7511111111111111,4.0,0.8584427767354597
0,custom_nn,nn_site_full_wt_mut_delta_abs,1280,0.5399999999999999,0.8710919324577859,0.8113207547169812,0.7312775330396476,0.8097560975609757,0.7685185185185185,0.8132075471698114,0.7431192660550459,0.7902439024390244,0.7659574468085106,4.0,0.8524155722326454
0,custom_nn,nn_mean_full_wt_mut_delta_abs,1280,0.5149999999999999,0.845906191369606,0.7566037735849057,0.6439393939393939,0.8292682926829268,0.7249466950959488,0.7660377358490567,0.6563706563706564,0.8292682926829268,0.7327586206896551,6.0,0.824859287054409
0,custom_nn,nn_site_plus_mean_full,2560,0.29,0.8831369606003753,0.8056603773584906,0.7475728155339806,0.751219512195122,0.7493917274939172,0.7528301886792453,0.6225165562913907,0.9170731707317074,0.7416173570019724,1.0,0.84765478424015
1,logistic_regression,mutant_site_baseline,320,0.19,0.849298311444653,0.7641509433962265,0.6754385964912281,0.751219512195122,0.7113163972286374,0.7075471698113207,0.577639751552795,0.9073170731707317,0.7058823529411765,,
1,custom_nn,nn_mutant_site_only,320,0.36999999999999994,0.9036622889305816,0.8169811320754717,0.7213114754098361,0.8585365853658536,0.7839643652561247,0.7566037735849057,0.6241830065359477,0.9317073170731708,0.7475538160469667,2.0,0.8477837711069418
1,custom_nn,nn_wildtype_site_only,320,0.32999999999999996,0.8795196998123829,0.7905660377358491,0.6991525423728814,0.8048780487804879,0.7482993197278912,0.7584905660377359,0.6313993174061433,0.9024390243902439,0.7429718875502008,3.0,0.8714235459662288
1,custom_nn,nn_delta_site_only,320,0.42999999999999994,0.8121951219512196,0.7396226415094339,0.6543778801843319,0.6926829268292682,0.6729857819905213,0.7377358490566037,0.6363636363636364,0.751219512195122,0.6890380313199105,23.0,0.8092284240150092
1,custom_nn,nn_abs_delta_site_only,320,0.33999999999999997,0.7912120075046905,0.7603773584905661,0.6989795918367347,0.6682926829268293,0.683291770573566,0.7094339622641509,0.5962264150943396,0.7707317073170732,0.6723404255319149,6.0,0.7810858348968105
1,custom_nn,nn_wt_plus_mut_site,640,0.3449999999999999,0.889718574108818,0.8018867924528302,0.7272727272727273,0.7804878048780488,0.7529411764705882,0.7905660377358491,0.6766917293233082,0.8780487804878049,0.7643312101910829,5.0,0.8746833958724203
1,custom_nn,nn_mut_plus_delta_site,640,0.5399999999999999,0.8945215759849905,0.8113207547169812,0.7160493827160493,0.848780487804878,0.7767857142857143,0.8245283018867925,0.7413793103448276,0.8390243902439024,0.7871853546910755,5.0,0.8658653846153845
1,custom_nn,nn_site_full_wt_mut_delta_abs,1280,0.37999999999999995,0.8946866791744841,0.8132075471698114,0.7226890756302521,0.8390243902439024,0.7765237020316027,0.769811320754717,0.643598615916955,0.9073170731707317,0.7530364372469636,1.0,0.8585248592870545
1,custom_nn,nn_mean_full_wt_mut_delta_abs,1280,0.3499999999999999,0.8168630393996248,0.7396226415094339,0.6462882096069869,0.7219512195121951,0.6820276497695853,0.6528301886792452,0.5311572700296736,0.8731707317073171,0.6605166051660517,11.0,0.8337124765478424
1,custom_nn,nn_site_plus_mean_full,2560,0.595,0.8935159474671669,0.8037735849056604,0.7044534412955465,0.848780487804878,0.7699115044247787,0.809433962264151,0.7321428571428571,0.8,0.7645687645687645,3.0,0.8844629455909944
2,logistic_regression,mutant_site_baseline,320,0.42499999999999993,0.8478048780487804,0.7773584905660378,0.6916299559471366,0.7658536585365854,0.7268518518518519,0.7679245283018868,0.673728813559322,0.775609756097561,0.7210884353741497,,
2,custom_nn,nn_mutant_site_only,320,0.30499999999999994,0.8499662288930581,0.7716981132075472,0.6962616822429907,0.7268292682926829,0.711217183770883,0.7264150943396226,0.6048951048951049,0.8439024390243902,0.7046843177189409,5.0,0.8667213883677298
2,custom_nn,nn_wildtype_site_only,320,0.48999999999999994,0.8620712945590994,0.7773584905660378,0.6790123456790124,0.8048780487804879,0.7366071428571429,0.7735849056603774,0.6706827309236948,0.8146341463414634,0.73568281938326,4.0,0.8667213883677298
2,custom_nn,nn_delta_site_only,320,0.4699999999999999,0.7624465290806755,0.7132075471698113,0.6402116402116402,0.5902439024390244,0.6142131979695431,0.7113207547169811,0.634020618556701,0.6,0.6165413533834586,42.0,0.8152673545966228
2,custom_nn,nn_abs_delta_site_only,320,0.32499999999999996,0.7574934333958723,0.7037735849056603,0.6176470588235294,0.6146341463414634,0.6161369193154034,0.6641509433962264,0.5480427046263345,0.751219512195122,0.6337448559670782,4.0,0.790220450281426
2,custom_nn,nn_wt_plus_mut_site,640,0.26499999999999996,0.8509568480300188,0.7849056603773585,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7716981132075472,0.6721311475409836,0.8,0.7305122494432071,14.0,0.8727251407129456
2,custom_nn,nn_mut_plus_delta_site,640,0.295,0.8360225140712945,0.7622641509433963,0.6945812807881774,0.6878048780487804,0.6911764705882353,0.7377358490566037,0.6269230769230769,0.7951219512195122,0.7010752688172043,7.0,0.8681519699812382
2,custom_nn,nn_site_full_wt_mut_delta_abs,1280,0.565,0.8533883677298312,0.7716981132075472,0.675,0.7902439024390244,0.7280898876404495,0.7849056603773585,0.7077625570776256,0.7560975609756098,0.7311320754716981,2.0,0.8758208255159473
2,custom_nn,nn_mean_full_wt_mut_delta_abs,1280,0.25999999999999995,0.7795272045028143,0.6886792452830188,0.5952380952380952,0.6097560975609756,0.6024096385542169,0.6830188679245283,0.5610561056105611,0.8292682926829268,0.6692913385826772,5.0,0.8294559099437148
2,custom_nn,nn_site_plus_mean_full,2560,0.57,0.8481951219512195,0.7962264150943397,0.7389162561576355,0.7317073170731707,0.7352941176470589,0.7811320754716982,0.7431693989071039,0.6634146341463415,0.7010309278350515,6.0,0.8825515947467167
3,logistic_regression,mutant_site_baseline,320,0.25999999999999995,0.8292682926829268,0.7509433962264151,0.6622222222222223,0.7268292682926829,0.6930232558139535,0.7320754716981132,0.6089965397923875,0.8585365853658536,0.7125506072874493,,
3,custom_nn,nn_mutant_site_only,320,0.42999999999999994,0.8529080675422138,0.7735849056603774,0.683982683982684,0.7707317073170732,0.7247706422018348,0.7754716981132076,0.6692913385826772,0.8292682926829268,0.7407407407407407,3.0,0.8875820825515948
3,custom_nn,nn_wildtype_site_only,320,0.4149999999999999,0.863422138836773,0.7811320754716982,0.6926406926406926,0.7804878048780488,0.7339449541284404,0.7754716981132076,0.6706349206349206,0.824390243902439,0.7396061269146609,3.0,0.869641181988743
3,custom_nn,nn_delta_site_only,320,0.31499999999999995,0.7902138836772983,0.7396226415094339,0.6830601092896175,0.6097560975609756,0.6443298969072165,0.720754716981132,0.6126482213438735,0.7560975609756098,0.6768558951965066,28.0,0.8006683864915572
3,custom_nn,nn_abs_delta_site_only,320,0.26999999999999996,0.7637373358348967,0.7169811320754716,0.6395939086294417,0.6146341463414634,0.6268656716417911,0.6433962264150943,0.5253164556962026,0.8097560975609757,0.6372360844529751,3.0,0.7563203564727955
3,custom_nn,nn_wt_plus_mut_site,640,0.57,0.8713395872420262,0.7962264150943397,0.6963562753036437,0.8390243902439024,0.7610619469026548,0.809433962264151,0.7342342342342343,0.7951219512195122,0.7634660421545667,3.0,0.8750586303939962
3,custom_nn,nn_mut_plus_delta_site,640,0.42999999999999994,0.8492607879924953,0.7735849056603774,0.683982683982684,0.7707317073170732,0.7247706422018348,0.769811320754717,0.676595744680851,0.775609756097561,0.7227272727272728,15.0,0.8781543151969982
3,custom_nn,nn_site_full_wt_mut_delta_abs,1280,0.3999999999999999,0.8354821763602251,0.7566037735849057,0.6881188118811881,0.6780487804878049,0.683046683046683,0.7679245283018868,0.6898148148148148,0.7268292682926829,0.7078384798099763,5.0,0.8789282363977485
3,custom_nn,nn_mean_full_wt_mut_delta_abs,1280,0.4099999999999999,0.8568255159474671,0.7754716981132076,0.6822033898305084,0.7853658536585366,0.7301587301587301,0.7490566037735849,0.6304347826086957,0.848780487804878,0.7234927234927235,5.0,0.8364329268292683
3,custom_nn,nn_site_plus_mean_full,2560,0.29,0.8663114446529081,0.7735849056603774,0.6940639269406392,0.7414634146341463,0.7169811320754716,0.7641509433962265,0.6526717557251909,0.8341463414634146,0.7323340471092077,5.0,0.8820708255159475
4,logistic_regression,mutant_site_baseline,320,0.4149999999999999,0.8344315196998122,0.7433962264150943,0.6468085106382979,0.7414634146341463,0.6909090909090909,0.7528301886792453,0.6423076923076924,0.8146341463414634,0.7182795698924731,,
4,custom_nn,nn_mutant_site_only,320,0.39499999999999996,0.8588217636022514,0.7679245283018868,0.7009803921568627,0.697560975609756,0.6992665036674817,0.7547169811320755,0.6383763837638377,0.8439024390243902,0.726890756302521,3.0,0.8735459662288931
4,custom_nn,nn_wildtype_site_only,320,0.5349999999999999,0.8607954971857411,0.7962264150943397,0.691699604743083,0.8536585365853658,0.7641921397379913,0.8075471698113208,0.7136929460580913,0.8390243902439024,0.7713004484304933,7.0,0.8740736397748593
4,custom_nn,nn_delta_site_only,320,0.26499999999999996,0.7936960600375236,0.7396226415094339,0.6475770925110133,0.7170731707317073,0.6805555555555556,0.6962264150943396,0.5743243243243243,0.8292682926829268,0.6786427145708582,18.0,0.7738860225140712
4,custom_nn,nn_abs_delta_site_only,320,0.05,0.7319024390243903,0.6849056603773584,0.589622641509434,0.6097560975609756,0.5995203836930456,0.5886792452830188,0.4826666666666667,0.8829268292682927,0.6241379310344828,10.0,0.7706144465290806
4,custom_nn,nn_wt_plus_mut_site,640,0.44499999999999995,0.8605928705440901,0.7716981132075472,0.6590909090909091,0.848780487804878,0.7420042643923241,0.7641509433962265,0.6459854014598541,0.8634146341463415,0.7390396659707724,4.0,0.8714939024390242
4,custom_nn,nn_mut_plus_delta_site,640,0.5299999999999999,0.8565103189493434,0.7641509433962265,0.6785714285714286,0.7414634146341463,0.7086247086247086,0.7584905660377359,0.6757990867579908,0.7219512195121951,0.6981132075471698,10.0,0.863015947467167
4,custom_nn,nn_site_full_wt_mut_delta_abs,1280,0.735,0.8120525328330206,0.7226415094339622,0.6342592592592593,0.6682926829268293,0.6508313539192399,0.7226415094339622,0.6510416666666666,0.6097560975609756,0.6297229219143576,13.0,0.8527204502814258
4,custom_nn,nn_mean_full_wt_mut_delta_abs,1280,0.38499999999999995,0.8010356472795497,0.7264150943396226,0.6351351351351351,0.6878048780487804,0.6604215456674473,0.7169811320754716,0.6061776061776062,0.7658536585365854,0.6767241379310345,10.0,0.8082551594746716
4,custom_nn,nn_site_plus_mean_full,2560,0.36999999999999994,0.852968105065666,0.7528301886792453,0.6594827586206896,0.7463414634146341,0.700228832951945,0.7396226415094339,0.6218181818181818,0.8341463414634146,0.7125,2.0,0.850562851782364
